runname,h-score,f-score,s-score,h-measure
CNU-S-C-1A,0.535305897788,0.451718181818,0.204539393939,0.173939443013
CNU-S-C-2A,0.578860028818,0.454466666667,0.193242424242,0.174784620895
CNU-S-C-3A,0.508621509212,0.419251515152,0.16256969697,0.118909625377
CNU-S-C-4A,0.461111111121,0.536724242424,0.190996969697,0.14074140909
FRDC-S-C-1A,0.293059163,0.693484848485,0.310975757576,0.132688236979
FRDC-S-C-2A,0.325673400727,0.407324242424,0.238078787879,0.103239325306
FRDC-S-C-3A,0.289725829697,0.693484848485,0.321372727273,0.132625076093
FRDC-S-C-4A,0.543644179909,0.3973,0.271539393939,0.172430992645
FRDC-S-C-5A,0.537692400212,0.404918181818,0.313939393939,0.1756637271
KLE-S-C-1A,0.530594035545,0.590048484848,0.635972727273,0.330311747931
KLE-S-C-2A,0.541281866212,0.588921212121,0.633936363636,0.33603874647
KLE-S-C-3A,0.507174122182,0.536554545455,0.671754545455,0.325466439278
KLE-S-C-4A,0.514814814818,0.540106060606,0.663957575758,0.327934543051
THUSAM-S-C-1A,0.552680976394,0.510372727273,0.463351515152,0.277262176023
THUSAM-S-C-2A,0.434678531303,0.395339393939,0.4633,0.220355466248
THUSAM-S-C-3A,0.328362193394,0.359815151515,0.398124242424,0.139975788493
THUSAM-S-C-4A,0.328362193394,0.359815151515,0.399345454545,0.140357417281
THUSAM-S-C-5A,0.428705507394,0.424190909091,0.462636363636,0.22235063502
TUTA1-S-C-1A,0.241871521152,0.28906969697,0.439051515152,0.112634169431
