runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
FRDC-S-C-5A,0012,0.3344,0.3843,0.4667
FRDC-S-C-5A,0013,0.4518,0.7129,1.0
FRDC-S-C-5A,0014,0.1729,0.2833,0.4
FRDC-S-C-5A,0015,0.5282,0.4897,0.4706
FRDC-S-C-5A,0016,0.2615,0.2903,0.3182
FRDC-S-C-5A,0017,0.1987,0.221,0.25
FRDC-S-C-5A,0018,0.0756,0.1209,0.1667
FRDC-S-C-5A,0019,0.349,0.2782,0.2353
FRDC-S-C-5A,0020,0.2101,0.2262,0.25
FRDC-S-C-5A,0021,0.185,0.1644,0.16
FRDC-S-C-5A,0022,0.2573,0.2657,0.2778
FRDC-S-C-5A,0023,0.4578,0.3421,0.25
FRDC-S-C-5A,0024,0.1513,0.1511,0.1714
FRDC-S-C-5A,0025,0.3423,0.3838,0.4545
FRDC-S-C-5A,0026,0.2454,0.1866,0.15
FRDC-S-C-5A,0027,0.4805,0.4265,0.4
FRDC-S-C-5A,0028,0.1412,0.1434,0.1481
FRDC-S-C-5A,0029,0.1404,0.1627,0.2
FRDC-S-C-5A,0030,0.1628,0.1925,0.24
FRDC-S-C-5A,0031,0.278,0.2822,0.2857
FRDC-S-C-5A,0032,0.4289,0.4169,0.4231
FRDC-S-C-5A,0033,0.0259,0.0443,0.0625
FRDC-S-C-4A,0001,0.4455,0.4993,0.5714
FRDC-S-C-4A,0002,0.125,0.2392,0.3571
FRDC-S-C-4A,0003,0.3622,0.3973,0.4615
FRDC-S-C-4A,0004,0.107,0.1345,0.175
FRDC-S-C-4A,0005,0.3631,0.4638,0.5714
FRDC-S-C-4A,0006,0.329,0.3022,0.3
FRDC-S-C-4A,0007,0.0958,0.0915,0.087
FRDC-S-C-4A,0008,0.1043,0.3038,0.5
FRDC-S-C-4A,0009,0.1181,0.1923,0.2692
FRDC-S-C-4A,0010,0.3238,0.352,0.375
FRDC-S-C-4A,0011,0.2697,0.3539,0.4375
FRDC-S-C-4A,0012,0.2275,0.3759,0.5333
FRDC-S-C-4A,0013,0.5218,0.7483,1.0
FRDC-S-C-4A,0014,0.151,0.2541,0.36
FRDC-S-C-4A,0015,0.3785,0.3824,0.4118
FRDC-S-C-4A,0016,0.096,0.1472,0.2045
FRDC-S-C-4A,0017,0.1042,0.1243,0.15
FRDC-S-C-4A,0018,0.0364,0.1018,0.1667
FRDC-S-C-4A,0019,0.2491,0.2694,0.2941
FRDC-S-C-4A,0020,0.2045,0.2379,0.3
FRDC-S-C-4A,0021,0.1758,0.2228,0.28
FRDC-S-C-4A,0022,0.2552,0.1953,0.1667
FRDC-S-C-4A,0023,0.3634,0.3357,0.3125
FRDC-S-C-4A,0024,0.1805,0.1774,0.2
FRDC-S-C-4A,0025,0.3304,0.2864,0.2727
FRDC-S-C-4A,0026,0.1121,0.1436,0.2
FRDC-S-C-4A,0027,0.4427,0.4069,0.4
