runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005
FRDC-S-C-5A,0014,0.268,0.5007,0.75
FRDC-S-C-5A,0015,0.6751,0.6696,0.6667
FRDC-S-C-5A,0016,0.427,0.4215,0.4
FRDC-S-C-5A,0017,0.2572,0.2548,0.2
FRDC-S-C-5A,0018,0.2671,0.3281,0.3333
FRDC-S-C-5A,0019,0.2011,0.3715,0.5
FRDC-S-C-5A,0020,0.0,0.0,0.0
FRDC-S-C-5A,0021,0.0271,0.183,0.3333
FRDC-S-C-5A,0022,0.0,0.0,0.0
FRDC-S-C-5A,0023,0.5917,0.8006,1.0
FRDC-S-C-5A,0024,0.0,0.0,0.0
FRDC-S-C-5A,0025,0.3693,0.3217,0.2
FRDC-S-C-5A,0026,0.2265,0.2372,0.2
FRDC-S-C-5A,0027,0.4979,0.7424,1.0
FRDC-S-C-5A,0028,0.2098,0.3768,0.5
FRDC-S-C-5A,0029,0.2605,0.3237,0.3333
FRDC-S-C-5A,0030,0.219,0.2975,0.3333
FRDC-S-C-5A,0031,0.2191,0.2986,0.3333
FRDC-S-C-5A,0032,0.1518,0.183,0.25
FRDC-S-C-5A,0033,0.2275,0.6377,1.0
FRDC-S-C-4A,0001,0.565,0.5773,0.6
FRDC-S-C-4A,0002,0.4755,0.5431,0.6
FRDC-S-C-4A,0003,0.4209,0.4029,0.4
FRDC-S-C-4A,0004,0.2323,0.3907,0.5
FRDC-S-C-4A,0005,0.4165,0.4265,0.4
FRDC-S-C-4A,0006,0.3546,0.376,0.4
FRDC-S-C-4A,0007,0.2438,0.3952,0.5
FRDC-S-C-4A,0008,0.2369,0.3923,0.5
FRDC-S-C-4A,0009,0.2349,0.2414,0.2
FRDC-S-C-4A,0010,0.4731,0.6397,0.75
FRDC-S-C-4A,0011,0.7101,0.7349,0.75
FRDC-S-C-4A,0012,0.2051,0.3734,0.5
FRDC-S-C-4A,0013,0.6034,0.802,1.0
FRDC-S-C-4A,0014,0.1542,0.3265,0.5
FRDC-S-C-4A,0015,0.656,0.8212,1.0
FRDC-S-C-4A,0016,0.1786,0.208,0.2
FRDC-S-C-4A,0017,0.2572,0.2548,0.2
FRDC-S-C-4A,0018,0.2671,0.3281,0.3333
FRDC-S-C-4A,0019,0.2011,0.3715,0.5
FRDC-S-C-4A,0020,0.0,0.0,0.0
FRDC-S-C-4A,0021,0.0271,0.183,0.3333
FRDC-S-C-4A,0022,0.0,0.0,0.0
FRDC-S-C-4A,0023,0.4938,0.7319,1.0
FRDC-S-C-4A,0024,0.0,0.0,0.0
FRDC-S-C-4A,0025,0.3693,0.3217,0.2
FRDC-S-C-4A,0026,0.2265,0.2372,0.2
FRDC-S-C-4A,0027,0.4335,0.7089,1.0
FRDC-S-C-4A,0028,0.2098,0.3768,0.5
FRDC-S-C-4A,0029,0.2605,0.3237,0.3333
FRDC-S-C-4A,0030,0.219,0.2975,0.3333
FRDC-S-C-4A,0031,0.2191,0.2986,0.3333
FRDC-S-C-4A,0032,0.3373,0.3884,0.5
FRDC-S-C-4A,0033,0.2275,0.6377,1.0
CNU-S-C-3A,0001,0.4709,0.3354,0.2
CNU-S-C-3A,0002,0.4135,0.3024,0.2
CNU-S-C-3A,0003,0.3462,0.3065,0.2
CNU-S-C-3A,0004,0.5311,0.756,1.0
CNU-S-C-3A,0005,0.5959,0.4923,0.4
CNU-S-C-3A,0006,0.3133,0.2898,0.2
CNU-S-C-3A,0007,0.566,0.7853,1.0
CNU-S-C-3A,0008,0.5444,0.7702,1.0
CNU-S-C-3A,0009,0.2391,0.1908,0.2
CNU-S-C-3A,0010,0.4603,0.3536,0.25
CNU-S-C-3A,0011,0.6116,0.5372,0.5
CNU-S-C-3A,0012,0.5917,0.793,1.0
CNU-S-C-3A,0013,0.5651,0.6535,0.75
CNU-S-C-3A,0014,0.5768,0.4097,0.25
CNU-S-C-3A,0015,0.198,0.2857,0.3333
CNU-S-C-3A,0016,0.2828,0.2709,0.2
CNU-S-C-3A,0017,0.0,0.0,0.0
CNU-S-C-3A,0018,0.1247,0.2344,0.3333
CNU-S-C-3A,0019,0.5315,0.5135,0.5
CNU-S-C-3A,0020,0.2669,0.2615,0.2
CNU-S-C-3A,0021,0.9288,0.8038,0.6667
CNU-S-C-3A,0022,0.4123,0.3268,0.25
CNU-S-C-3A,0023,0.5079,0.4967,0.5
CNU-S-C-3A,0024,0.735,0.5339,0.3333
CNU-S-C-3A,0025,0.3218,0.2933,0.2
CNU-S-C-3A,0026,0.214,0.2296,0.2
CNU-S-C-3A,0027,0.5096,0.5918,0.6667
CNU-S-C-3A,0028,0.5544,0.525,0.5
CNU-S-C-3A,0029,0.0,0.0,0.0
CNU-S-C-3A,0030,0.2628,0.3237,0.3333
CNU-S-C-3A,0031,0.6958,0.6699,0.6667
CNU-S-C-3A,0032,0.5257,0.4991,0.5
CNU-S-C-3A,0033,0.0,0.0,0.0
TUTA1-S-C-1A,0001,0.039,0.3215,0.6
TUTA1-S-C-1A,0002,0.018,0.1068,0.2
TUTA1-S-C-1A,0003,0.0144,0.1055,0.2
TUTA1-S-C-1A,0004,0.0294,0.5143,1.0
TUTA1-S-C-1A,0005,0.2469,0.3456,0.4
TUTA1-S-C-1A,0006,0.3383,0.3337,0.4
TUTA1-S-C-1A,0007,0.0075,0.254,0.5
TUTA1-S-C-1A,0008,0.0169,0.2601,0.5
TUTA1-S-C-1A,0009,0.0168,0.1064,0.2
TUTA1-S-C-1A,0010,0.2459,0.3977,0.5
TUTA1-S-C-1A,0011,0.1857,0.324,0.5
TUTA1-S-C-1A,0012,0.4169,0.7358,1.0
TUTA1-S-C-1A,0013,0.0149,0.259,0.5
TUTA1-S-C-1A,0014,0.0454,0.2737,0.5
TUTA1-S-C-1A,0015,0.6043,0.6334,0.6667
TUTA1-S-C-1A,0016,0.0337,0.2162,0.4
TUTA1-S-C-1A,0017,0.1319,0.3712,0.6
TUTA1-S-C-1A,0018,0.0095,0.1716,0.3333
TUTA1-S-C-1A,0019,0.0378,0.2685,0.5
TUTA1-S-C-1A,0020,0.0748,0.2398,0.4
TUTA1-S-C-1A,0021,0.0385,0.354,0.6667
TUTA1-S-C-1A,0022,0.145,0.3318,0.5
TUTA1-S-C-1A,0023,0.2398,0.3947,0.5
TUTA1-S-C-1A,0024,0.0,0.0,0.0
TUTA1-S-C-1A,0025,0.0082,0.1042,0.2
TUTA1-S-C-1A,0026,0.0462,0.3225,0.6
TUTA1-S-C-1A,0027,0.0502,0.1914,0.3333
TUTA1-S-C-1A,0028,0.1698,0.5806,1.0
TUTA1-S-C-1A,0029,0.0186,0.1737,0.3333
TUTA1-S-C-1A,0030,0.0848,0.3685,0.6667
TUTA1-S-C-1A,0031,0.2191,0.2986,0.3333
TUTA1-S-C-1A,0032,0.0966,0.1805,0.25
TUTA1-S-C-1A,0033,0.0,0.0,0.0
FRDC-S-C-1A,0001,0.6945,0.7436,0.8
FRDC-S-C-1A,0002,0.5964,0.464,0.4
FRDC-S-C-1A,0003,0.5706,0.6883,0.8
FRDC-S-C-1A,0004,0.4646,0.4795,0.5
FRDC-S-C-1A,0005,0.7974,0.6968,0.6
FRDC-S-C-1A,0006,0.6159,0.5168,0.4
FRDC-S-C-1A,0007,0.865,0.934,1.0
FRDC-S-C-1A,0008,0.4804,0.7384,1.0
FRDC-S-C-1A,0009,0.6449,0.6501,0.6
FRDC-S-C-1A,0010,0.8073,0.7687,0.75
FRDC-S-C-1A,0011,0.5233,0.6543,0.75
FRDC-S-C-1A,0012,0.8648,0.9271,1.0
FRDC-S-C-1A,0013,0.609,0.8304,1.0
FRDC-S-C-1A,0014,0.5112,0.7701,1.0
FRDC-S-C-1A,0015,0.7874,0.8815,1.0
FRDC-S-C-1A,0016,0.9146,0.7621,0.6
FRDC-S-C-1A,0017,0.9674,0.6813,0.4
FRDC-S-C-1A,0018,0.7336,0.6927,0.6667
FRDC-S-C-1A,0019,0.7629,0.8784,1.0
FRDC-S-C-1A,0020,0.746,0.6774,0.6
FRDC-S-C-1A,0021,0.5209,0.5893,0.6667
FRDC-S-C-1A,0022,0.5239,0.6194,0.75
FRDC-S-C-1A,0023,0.7993,0.901,1.0
FRDC-S-C-1A,0024,0.8225,0.7455,0.6667
FRDC-S-C-1A,0025,0.3693,0.3217,0.2
FRDC-S-C-1A,0026,0.5057,0.4491,0.4
FRDC-S-C-1A,0027,0.7291,0.7037,0.6667
FRDC-S-C-1A,0028,0.7724,0.8836,1.0
FRDC-S-C-1A,0029,0.9882,0.9947,1.0
FRDC-S-C-1A,0030,0.6857,0.502,0.3333
FRDC-S-C-1A,0031,0.5951,0.6224,0.6667
FRDC-S-C-1A,0032,0.5447,0.3925,0.25
FRDC-S-C-1A,0033,0.4549,0.7246,1.0
KLE-S-C-1A,0001,0.5679,0.5872,0.6
KLE-S-C-1A,0002,0.4612,0.3093,0.2
KLE-S-C-1A,0003,0.279,0.2566,0.2
KLE-S-C-1A,0004,0.5418,0.7719,1.0
