,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
FRDC-S-C-5A,10,0.3808,0.4667,0.5,0.4836,0.5111,0.5625,0.247222222,0.120866944
FRDC-S-C-5A,11,0.5638,0.6528,0.75,0.416,0.4157,0.4375,0.378571429,0.202251786
FRDC-S-C-5A,12,0.4272,0.4653,0.5,0.3344,0.3843,0.4667,0.6,0.25488
FRDC-S-C-5A,13,0.3569,0.5509,0.75,0.4518,0.7129,1,0.322222222,0.203612222
FRDC-S-C-5A,14,0.268,0.5007,0.75,0.1729,0.2833,0.4,0.327777778,0.128488889
FRDC-S-C-5A,15,0.6751,0.6696,0.6667,0.5282,0.4897,0.4706,0.38,0.220267
FRDC-S-C-5A,16,0.427,0.4215,0.4,0.2615,0.2903,0.3182,0.283333333,0.100838333
FRDC-S-C-5A,17,0.2572,0.2548,0.2,0.1987,0.221,0.25,0.8,0.1768
FRDC-S-C-5A,18,0.2671,0.3281,0.3333,0.0756,0.1209,0.1667,0.5,0.06045
FRDC-S-C-5A,19,0.2011,0.3715,0.5,0.349,0.2782,0.2353,0,0
FRDC-S-C-5A,20,0,0,0,0.2101,0.2262,0.25,0.6,0.13572
FRDC-S-C-5A,21,0.0271,0.183,0.3333,0.185,0.1644,0.16,0.8,0.13152
FRDC-S-C-5A,22,0,0,0,0.2573,0.2657,0.2778,1,0.2657
FRDC-S-C-5A,23,0.5917,0.8006,1,0.4578,0.3421,0.25,1,0.3421
FRDC-S-C-5A,24,0,0,0,0.1513,0.1511,0.1714,0.5,0.07555
FRDC-S-C-5A,25,0.3693,0.3217,0.2,0.3423,0.3838,0.4545,1,0.3838
FRDC-S-C-5A,26,0.2265,0.2372,0.2,0.2454,0.1866,0.15,0.7,0.13062
FRDC-S-C-5A,27,0.4979,0.7424,1,0.4805,0.4265,0.4,0.75,0.319875
FRDC-S-C-5A,28,0.2098,0.3768,0.5,0.1412,0.1434,0.1481,0.6,0.08604
FRDC-S-C-5A,29,0.2605,0.3237,0.3333,0.1404,0.1627,0.2,0.8,0.13016
FRDC-S-C-5A,30,0.219,0.2975,0.3333,0.1628,0.1925,0.24,0.7,0.13475
FRDC-S-C-5A,31,0.2191,0.2986,0.3333,0.278,0.2822,0.2857,0.6,0.16932
FRDC-S-C-5A,32,0.1518,0.183,0.25,0.4289,0.4169,0.4231,0.066666667,0.027793333
FRDC-S-C-5A,33,0.2275,0.6377,1,0.0259,0.0443,0.0625,0,0
KLE-S-C-1A,1,0.5679,0.5872,0.6,0.7199,0.7509,0.7857,0.286666667,0.191794334
KLE-S-C-1A,2,0.4612,0.3093,0.2,0.4655,0.5641,0.6429,0.663333333,0.289677667
KLE-S-C-1A,3,0.279,0.2566,0.2,0.6695,0.5955,0.5385,0.24,0.102252
KLE-S-C-1A,4,0.5418,0.7719,1,0.5255,0.6072,0.7,0.584444444,0.403003666
KLE-S-C-1A,5,0.71,0.4454,0.2,0.7546,0.5411,0.3333,0.613333333,0.302526667
KLE-S-C-1A,6,0.5511,0.5754,0.6,0.6774,0.5615,0.45,0.746666667,0.424442667
KLE-S-C-1A,7,0.6465,0.8197,1,0.8658,0.629,0.3913,0.18,0.130383
KLE-S-C-1A,8,0.5662,0.7964,1,0.7067,0.5952,0.5,0.045,0.031311
KLE-S-C-1A,9,0.3356,0.2647,0.2,0.432,0.5077,0.5769,0.275,0.106205
KLE-S-C-1A,10,0.4634,0.4914,0.5,0.6325,0.5612,0.5,0.353333333,0.185959333
KLE-S-C-1A,11,0.6295,0.5595,0.5,0.5769,0.7669,0.9375,0.336666667,0.223277334
KLE-S-C-1A,12,0.7847,0.9059,1,0.728,0.7911,0.8667,0.62,0.52607
KLE-S-C-1A,13,0.6189,0.799,1,0.9828,0.991,1,0.5,0.4475
KLE-S-C-1A,14,0.5127,0.5004,0.5,0.6805,0.5564,0.44,0.513333333,0.271245333
KLE-S-C-1A,15,0.4945,0.5851,0.6667,0.6988,0.672,0.6471,0.364444444,0.229071555
KLE-S-C-1A,16,0.3623,0.3981,0.4,0.5603,0.5407,0.5227,0.235,0.110309
KLE-S-C-1A,17,0.6636,0.6284,0.6,0.5937,0.7303,0.85,0.658571429,0.480954715
KLE-S-C-1A,18,0.6598,0.8297,1,0.6766,0.667,0.6667,0.573333333,0.382413333
KLE-S-C-1A,19,0.5144,0.506,0.5,0.7811,0.6544,0.5294,0.43,0.281392
KLE-S-C-1A,20,0.4732,0.437,0.4,0.5986,0.6846,0.75,0.331111111,0.226678667
KLE-S-C-1A,21,0.1772,0.4021,0.6667,0.6482,0.5624,0.48,0.412777778,0.232146222
KLE-S-C-1A,22,0.3545,0.4272,0.5,0.644,0.6381,0.6111,0.66,0.421146
KLE-S-C-1A,23,0.6013,0.5605,0.5,0.5835,0.6971,0.8125,0.86,0.599506
KLE-S-C-1A,24,0.6159,0.4756,0.3333,0.4262,0.4334,0.4286,0.835,0.361889
KLE-S-C-1A,25,0.6855,0.5405,0.4,0.6969,0.7081,0.7273,0.56,0.396536
KLE-S-C-1A,26,0.5604,0.6744,0.8,0.6736,0.634,0.6,0.785,0.49769
KLE-S-C-1A,27,0.716,0.5072,0.3333,0.864,0.7284,0.6,0.915,0.666486
KLE-S-C-1A,28,0.5149,0.7599,1,0.5178,0.5531,0.5926,0.92,0.508852
KLE-S-C-1A,29,0.6641,0.8328,1,0.6285,0.5976,0.56,0.84,0.501984
KLE-S-C-1A,30,0.5425,0.6041,0.6667,0.6789,0.5386,0.4,0.633333333,0.341113333
KLE-S-C-1A,31,0.5421,0.7716,1,0.2627,0.4612,0.6429,0.202222222,0.093264889
KLE-S-C-1A,32,0.6011,0.6779,0.75,0.5556,0.6038,0.6538,0.848888889,0.512559111
KLE-S-C-1A,33,0.5401,0.7707,1,0.7852,0.8635,0.9375,0.487142857,0.420647857
KLE-S-C-2A,1,0.5679,0.5872,0.6,0.7199,0.7509,0.7857,0.286666667,0.191794334
KLE-S-C-2A,2,0.4612,0.3093,0.2,0.4829,0.5734,0.6429,0.69,0.3045315
KLE-S-C-2A,3,0.279,0.2566,0.2,0.6695,0.5955,0.5385,0.24,0.102252
KLE-S-C-2A,4,0.5418,0.7719,1,0.5255,0.6072,0.7,0.584444444,0.403003666
KLE-S-C-2A,5,0.71,0.4454,0.2,0.7546,0.5411,0.3333,0.613333333,0.302526667
KLE-S-C-2A,6,0.5511,0.5754,0.6,0.6252,0.5089,0.4,0.713333333,0.386733666
KLE-S-C-2A,7,0.6465,0.8197,1,0.8658,0.629,0.3913,0.18,0.130383
KLE-S-C-2A,8,0.5662,0.7964,1,0.7067,0.5952,0.5,0.045,0.031311
KLE-S-C-2A,9,0.3356,0.2647,0.2,0.432,0.5077,0.5769,0.275,0.106205
KLE-S-C-2A,10,0.4634,0.4914,0.5,0.6325,0.5612,0.5,0.513333333,0.270167333
KLE-S-C-2A,11,0.5478,0.6497,0.75,0.5745,0.7658,0.9375,0.34,0.240635
KLE-S-C-2A,12,0.7847,0.9059,1,0.728,0.7911,0.8667,0.62,0.52607
KLE-S-C-2A,13,0.6189,0.799,1,0.9828,0.991,1,0.5,0.4475
KLE-S-C-2A,14,0.5127,0.5004,0.5,0.6805,0.5564,0.44,0.513333333,0.271245333
KLE-S-C-2A,15,0.4945,0.5851,0.6667,0.6988,0.672,0.6471,0.364444444,0.229071555
KLE-S-C-2A,16,0.4023,0.4189,0.4,0.5705,0.5233,0.4773,0.255714286,0.120467
KLE-S-C-2A,17,0.643,0.6172,0.6,0.5944,0.7307,0.85,0.788333333,0.576035166
KLE-S-C-2A,18,0.6598,0.8297,1,0.6766,0.667,0.6667,0.573333333,0.382413333
KLE-S-C-2A,19,0.5144,0.506,0.5,0.7811,0.6544,0.5294,0.43,0.281392
KLE-S-C-2A,20,0.4732,0.437,0.4,0.5986,0.6846,0.75,0.397777778,0.272318667
KLE-S-C-2A,21,0.1772,0.4021,0.6667,0.6482,0.5624,0.48,0.412777778,0.232146222
KLE-S-C-2A,22,0.3545,0.4272,0.5,0.649,0.6687,0.6667,0.6,0.40122
KLE-S-C-2A,23,0.6013,0.5605,0.5,0.5835,0.6971,0.8125,0.86,0.599506
KLE-S-C-2A,24,0.6159,0.4756,0.3333,0.4262,0.4334,0.4286,0.835,0.361889
KLE-S-C-2A,25,0.694,0.6456,0.6,0.7742,0.7948,0.8182,0.56,0.445088
KLE-S-C-2A,26,0.5604,0.6744,0.8,0.6736,0.634,0.6,0.785,0.49769
KLE-S-C-2A,27,0.716,0.5072,0.3333,0.864,0.7284,0.6,0.915,0.666486
KLE-S-C-2A,28,0.5149,0.7599,1,0.5178,0.5531,0.5926,0.92,0.508852
KLE-S-C-2A,29,0.6641,0.8328,1,0.6285,0.5976,0.56,0.84,0.501984
KLE-S-C-2A,30,0.5425,0.6041,0.6667,0.6789,0.5386,0.4,0.633333333,0.341113333
KLE-S-C-2A,31,0.5271,0.7636,1,0.2256,0.3698,0.5,0.43,0.159014
KLE-S-C-2A,32,0.3468,0.4438,0.5,0.5722,0.5721,0.5769,0.66,0.377586
KLE-S-C-2A,33,0.5401,0.7707,1,0.7852,0.8635,0.9375,0.487142857,0.420647857
KLE-S-C-3A,1,0.1886,0.2962,0.4,0.7745,0.8536,0.9286,0.664444444,0.381989111
KLE-S-C-3A,2,0.386,0.373,0.4,0.4728,0.5573,0.6429,0.875,0.40700625
KLE-S-C-3A,3,0.3106,0.2417,0.2,0.5678,0.5606,0.5385,0.631428571,0.253297571
KLE-S-C-3A,4,0.4722,0.49,0.5,0.385,0.5266,0.65,0.348571429,0.177178857
KLE-S-C-3A,5,0.5617,0.4677,0.4,0.6954,0.6305,0.5714,0.5,0.27455
KLE-S-C-3A,6,0.2947,0.4644,0.6,0.6106,0.6018,0.6,0.677777778,0.361323333
KLE-S-C-3A,7,0.4742,0.7342,1,0.7753,0.7591,0.7391,0.4,0.29866
KLE-S-C-3A,8,0.3384,0.4176,0.5,0.6624,0.5718,0.5,0.086666667,0.042874
KLE-S-C-3A,9,0.494,0.45,0.4,0.4148,0.5369,0.6538,0.514285714,0.253774286
KLE-S-C-3A,10,0.3174,0.426,0.5,0.6245,0.5529,0.5,0.08,0.039156
KLE-S-C-3A,11,0.4527,0.4705,0.5,0.6171,0.7845,0.9375,0.18,0.11295
KLE-S-C-3A,12,0.4987,0.7492,1,0.7819,0.8221,0.8667,0.56,0.439964
KLE-S-C-3A,13,0.3235,0.6756,1,0.8972,0.9457,1,0.513333333,0.416133666
KLE-S-C-3A,14,0.2096,0.2357,0.25,0.5245,0.6259,0.72,0.248888889,0.107221333
KLE-S-C-3A,15,0.4553,0.7259,1,0.7661,0.7334,0.7059,0.546666667,0.398875334
KLE-S-C-3A,16,0.4043,0.4894,0.6,0.5304,0.579,0.6136,0.188888889,0.100904445
KLE-S-C-3A,17,0.6386,0.6242,0.6,0.681,0.7923,0.9,0.82,0.649686
KLE-S-C-3A,18,0.4377,0.5714,0.6667,0.7254,0.734,0.75,0.566666667,0.415933334
KLE-S-C-3A,19,0.4135,0.6727,1,0.7534,0.7263,0.7059,0.19,0.137997
KLE-S-C-3A,20,0.21,0.395,0.6,0.6218,0.6901,0.75,0.168571429,0.116331143
KLE-S-C-3A,21,0.2145,0.4544,0.6667,0.5164,0.6098,0.68,0.14,0.085372
KLE-S-C-3A,22,0.3059,0.4068,0.5,0.5691,0.7096,0.8333,0.593333333,0.421029333
KLE-S-C-3A,23,0.4339,0.4929,0.5,0.7119,0.791,0.875,0.6,0.4746
KLE-S-C-3A,24,0.4743,0.5694,0.6667,0.3218,0.3952,0.4571,0.726666667,0.287178667
KLE-S-C-3A,25,0.5604,0.5779,0.6,0.6626,0.7328,0.8182,0.511111111,0.374542222
KLE-S-C-3A,26,0.4558,0.531,0.6,0.7419,0.769,0.8,0.68,0.52292
KLE-S-C-3A,27,0.458,0.5619,0.6667,0.8696,0.8311,0.8,0.915,0.7604565
KLE-S-C-3A,28,0.4194,0.7097,1,0.595,0.7071,0.8148,0.96,0.678816
KLE-S-C-3A,29,0.5243,0.595,0.6667,0.573,0.6089,0.64,0.84,0.511476
KLE-S-C-3A,30,0.5002,0.5844,0.6667,0.7129,0.6567,0.6,0.533333333,0.35024
KLE-S-C-3A,31,0.4731,0.7389,1,0.3026,0.4055,0.5,0.383333333,0.155441667
KLE-S-C-3A,32,0.6653,0.7212,0.75,0.6208,0.6496,0.6923,0.757777778,0.492252445
KLE-S-C-3A,33,0.5807,0.7924,1,0.8054,0.7172,0.625,0.335,0.240262
KLE-S-C-4A,1,0.1886,0.2962,0.4,0.7745,0.8536,0.9286,0.664444444,0.381989111
KLE-S-C-4A,2,0.3627,0.3605,0.4,0.5039,0.5743,0.6429,0.88,0.411312
KLE-S-C-4A,3,0.3106,0.2417,0.2,0.5678,0.5606,0.5385,0.631428571,0.253297571
KLE-S-C-4A,4,0.4722,0.49,0.5,0.385,0.5266,0.65,0.348571429,0.177178857
KLE-S-C-4A,5,0.5617,0.4677,0.4,0.6954,0.6305,0.5714,0.5,0.27455
KLE-S-C-4A,6,0.3813,0.5975,0.8,0.6106,0.6018,0.6,0.697777778,0.418422445
KLE-S-C-4A,7,0.4742,0.7342,1,0.7753,0.7591,0.7391,0.4,0.29866
KLE-S-C-4A,8,0.3384,0.4176,0.5,0.6624,0.5718,0.5,0.086666667,0.042874
KLE-S-C-4A,9,0.494,0.45,0.4,0.4148,0.5369,0.6538,0.514285714,0.253774286
KLE-S-C-4A,10,0.3174,0.426,0.5,0.6245,0.5529,0.5,0.08,0.039156
KLE-S-C-4A,11,0.5018,0.4942,0.5,0.5778,0.6699,0.75,0.41,0.2386405
KLE-S-C-4A,12,0.4987,0.7492,1,0.7819,0.8221,0.8667,0.56,0.439964
KLE-S-C-4A,13,0.3235,0.6756,1,0.8972,0.9457,1,0.513333333,0.416133666
KLE-S-C-4A,14,0.2096,0.2357,0.25,0.5245,0.6259,0.72,0.248888889,0.107221333
KLE-S-C-4A,15,0.4553,0.7259,1,0.7661,0.7334,0.7059,0.546666667,0.398875334
KLE-S-C-4A,16,0.6683,0.6158,0.6,0.5241,0.5642,0.5909,0.305714286,0.180371429
KLE-S-C-4A,17,0.5746,0.5857,0.6,0.6542,0.7029,0.75,0.84,0.590436
KLE-S-C-4A,18,0.4377,0.5714,0.6667,0.7254,0.734,0.75,0.566666667,0.415933334
KLE-S-C-4A,19,0.4135,0.6727,1,0.7534,0.7263,0.7059,0.19,0.137997
KLE-S-C-4A,20,0.21,0.395,0.6,0.6218,0.6901,0.75,0.16,0.110416
KLE-S-C-4A,21,0.2145,0.4544,0.6667,0.5164,0.6098,0.68,0.14,0.085372
KLE-S-C-4A,22,0.3059,0.4068,0.5,0.5691,0.7096,0.8333,0.593333333,0.421029333
KLE-S-C-4A,23,0.4339,0.4929,0.5,0.7119,0.791,0.875,0.6,0.4746
KLE-S-C-4A,24,0.4743,0.5694,0.6667,0.3218,0.3952,0.4571,0.726666667,0.287178667
KLE-S-C-4A,25,0.5604,0.5779,0.6,0.6626,0.7328,0.8182,0.511111111,0.374542222
KLE-S-C-4A,26,0.4558,0.531,0.6,0.7419,0.769,0.8,0.68,0.52292
KLE-S-C-4A,27,0.458,0.5619,0.6667,0.8696,0.8311,0.8,0.915,0.7604565
KLE-S-C-4A,28,0.4194,0.7097,1,0.595,0.7071,0.8148,0.96,0.678816
KLE-S-C-4A,29,0.5243,0.595,0.6667,0.573,0.6089,0.64,0.84,0.511476
KLE-S-C-4A,30,0.5002,0.5844,0.6667,0.7129,0.6567,0.6,0.533333333,0.35024
KLE-S-C-4A,31,0.4731,0.7389,1,0.3026,0.4055,0.5,0.383333333,0.155441667
KLE-S-C-4A,32,0.4756,0.6062,0.75,0.589,0.5941,0.6154,0.626666667,0.372302667
KLE-S-C-4A,33,0.5807,0.7924,1,0.8054,0.7172,0.625,0.335,0.240262
THUSAM-S-C-1A,1,0.5364,0.6057,0.6,0.6962,0.6636,0.6429,0.678095238,0.430353143
THUSAM-S-C-1A,2,0.3855,0.5003,0.6,0.4151,0.6025,0.7857,0.703571429,0.387949286
THUSAM-S-C-1A,3,0.4191,0.3647,0.4,0.3237,0.4368,0.5385,0.753333333,0.301898333
THUSAM-S-C-1A,4,0.3309,0.4159,0.5,0.401,0.3081,0.2,0.483492063,0.175024127
THUSAM-S-C-1A,5,0.375,0.4793,0.6,0.5822,0.4743,0.381,0.5875,0.28012
THUSAM-S-C-1A,6,0.413,0.5131,0.6,0.6776,0.5612,0.45,0.845,0.45389175
THUSAM-S-C-1A,7,0.2502,0.6381,1,0.5289,0.4065,0.3043,0.24,0.125352
THUSAM-S-C-1A,8,0.2961,0.6456,1,0.8675,0.68,0.5,0.7,0.46396
THUSAM-S-C-1A,9,0.2229,0.3214,0.4,0.3343,0.4297,0.5385,0.660714286,0.24813125
THUSAM-S-C-1A,10,0.4894,0.6362,0.75,0.5465,0.6806,0.8125,0.640972222,0.422016111
THUSAM-S-C-1A,11,0.5873,0.6889,0.75,0.5541,0.4329,0.3125,0.333333333,0.186966666
THUSAM-S-C-1A,12,0.4368,0.7155,1,0.6856,0.5705,0.4667,0.751785714,0.483398214
THUSAM-S-C-1A,13,0.6078,0.7011,0.75,0.8955,0.947,1,0.653333333,0.538379333
THUSAM-S-C-1A,14,0.155,0.4515,0.75,0.3263,0.3016,0.28,0.741666667,0.279274583
THUSAM-S-C-1A,15,0.6319,0.7863,1,0.5872,0.5866,0.5882,0.716666667,0.491955834
THUSAM-S-C-1A,16,0.3877,0.3957,0.4,0.2878,0.28,0.25,0.382063492,0.129080151
THUSAM-S-C-1A,17,0,0,0,0.2418,0.2981,0.35,0,0
THUSAM-S-C-1A,18,0.1145,0.2103,0.3333,0.49,0.4003,0.3333,0.3375,0.13510125
THUSAM-S-C-1A,19,0.4937,0.4748,0.5,0.6746,0.4184,0.1765,0.56,0.234304
THUSAM-S-C-1A,20,0.6512,0.6188,0.6,0.5543,0.4266,0.3,0.511111111,0.21804
THUSAM-S-C-1A,21,0.3348,0.4981,0.6667,0.3107,0.2388,0.16,0.438888889,0.104806667
THUSAM-S-C-1A,22,0.2209,0.4722,0.75,0.6465,0.5776,0.5,0.64,0.369664
THUSAM-S-C-1A,23,0.4626,0.7405,1,0.7679,0.5655,0.375,0.914285714,0.517028571
THUSAM-S-C-1A,24,0.2868,0.4768,0.6667,0.3991,0.278,0.1714,0.485,0.13483
THUSAM-S-C-1A,25,0.3693,0.3217,0.2,0.3643,0.3502,0.3636,1,0.3502
THUSAM-S-C-1A,26,0.2969,0.4448,0.6,0.3121,0.4059,0.5,0.375714286,0.152502429
THUSAM-S-C-1A,27,0.4996,0.7716,1,0.7935,0.6909,0.6,0.685,0.4732665
THUSAM-S-C-1A,28,0.3893,0.6906,1,0.7258,0.4867,0.2593,0.619444444,0.301483611
THUSAM-S-C-1A,29,0.2839,0.4883,0.6667,0.7028,0.5903,0.48,0.38,0.224314
THUSAM-S-C-1A,30,0.2726,0.4667,0.6667,0.4298,0.3538,0.28,0.5,0.1769
THUSAM-S-C-1A,31,0.2191,0.2986,0.3333,0.2846,0.3151,0.3571,0.6,0.18906
THUSAM-S-C-1A,32,0.2381,0.3715,0.5,0.6356,0.5325,0.4231,0.32,0.1704
THUSAM-S-C-1A,33,0.2275,0.6377,1,0,0,0,0,0
THUSAM-S-C-2A,1,0.5235,0.5958,0.6,0.541,0.5133,0.5,0.533333333,0.29576
THUSAM-S-C-2A,2,0.2701,0.2215,0.2,0.4446,0.3536,0.2857,0.638095238,0.183484286
THUSAM-S-C-2A,3,0.1608,0.271,0.4,0.436,0.5733,0.6923,0.333333333,0.140716667
THUSAM-S-C-2A,4,0,0,0,0.335,0.1939,0.075,0,0
THUSAM-S-C-2A,5,0.3582,0.4842,0.6,0.6777,0.5933,0.5238,0.4,0.2155
THUSAM-S-C-2A,6,0.4272,0.3821,0.4,0.4387,0.4099,0.4,0.733333333,0.2904
THUSAM-S-C-2A,7,0.1828,0.3553,0.5,0.4361,0.3579,0.3043,0.175,0.062405
THUSAM-S-C-2A,8,0.2226,0.3583,0.5,0.682,0.583,0.5,0.6,0.28239
THUSAM-S-C-2A,9,0.2759,0.4391,0.6,0.3479,0.4029,0.4615,0.320833333,0.135070833
THUSAM-S-C-2A,10,0.3592,0.549,0.75,0.6428,0.6623,0.6875,0.36875,0.223333438
THUSAM-S-C-2A,11,0.3681,0.5519,0.75,0.4458,0.4128,0.375,0.55,0.2652925
THUSAM-S-C-2A,12,0.6707,0.8336,1,0.7868,0.6576,0.5333,0.8,0.59648
THUSAM-S-C-2A,13,0.441,0.6945,1,0.8312,0.913,1,0.575,0.46215625
THUSAM-S-C-2A,14,0.1347,0.439,0.75,0.41,0.3506,0.28,0.6,0.23688
THUSAM-S-C-2A,15,0.3363,0.5148,0.6667,0.5481,0.6227,0.7059,0.48125,0.273710938
THUSAM-S-C-2A,16,0.3937,0.5069,0.6,0.3205,0.4354,0.5455,0.525,0.24735375
THUSAM-S-C-2A,17,0,0,0,0.3162,0.2967,0.3,0,0
THUSAM-S-C-2A,18,0.1908,0.2607,0.3333,0.5945,0.5371,0.5,0.455753968,0.244785456
THUSAM-S-C-2A,19,0.2506,0.6226,1,0.6665,0.4435,0.2353,0.613888889,0.272259722
THUSAM-S-C-2A,20,0.5413,0.5734,0.6,0.4922,0.4796,0.45,0.4625,0.221815
THUSAM-S-C-2A,21,0.1779,0.4183,0.6667,0.25,0.3268,0.4,0.158333333,0.051743333
THUSAM-S-C-2A,22,0.0909,0.1626,0.25,0.0417,0.0442,0.0556,0.166666667,0.007366667
THUSAM-S-C-2A,23,0.2385,0.6181,1,0.7765,0.5697,0.375,0.742857143,0.423205714
THUSAM-S-C-2A,24,0.2131,0.4362,0.6667,0.4449,0.3277,0.2286,0.5,0.16385
THUSAM-S-C-2A,25,0.3461,0.2721,0.2,0.9016,0.7725,0.6364,0.76,0.5871
THUSAM-S-C-2A,26,0.0791,0.1302,0.2,0.4123,0.526,0.65,0.2,0.1052
THUSAM-S-C-2A,27,0.502,0.3984,0.3333,0.8492,0.6203,0.4,0.75,0.465225
THUSAM-S-C-2A,28,0.1466,0.3315,0.5,0.5264,0.4365,0.3704,0.462962963,0.202083333
THUSAM-S-C-2A,29,0.3192,0.3264,0.3333,0.5785,0.5232,0.48,0.55,0.28776
THUSAM-S-C-2A,30,0.1053,0.2112,0.3333,0.3678,0.4342,0.52,0.1875,0.0814125
THUSAM-S-C-2A,31,0.2191,0.2986,0.3333,0.2627,0.3109,0.3571,0.6,0.18654
THUSAM-S-C-2A,32,0.0544,0.1512,0.25,0.6054,0.6045,0.6154,0.1,0.06045
THUSAM-S-C-2A,33,0.2275,0.6377,1,0,0,0,0,0
THUSAM-S-C-3A,1,0.1656,0.2838,0.4,0.7142,0.5691,0.4286,0.32,0.136464
THUSAM-S-C-3A,2,0.1125,0.2498,0.4,0.5665,0.6316,0.7143,0.25,0.110175
THUSAM-S-C-3A,3,0.2131,0.3056,0.4,0.2636,0.4012,0.5385,0.1,0.03534
THUSAM-S-C-3A,4,0.101,0.3063,0.5,0.5118,0.4574,0.425,0.32,0.122192
THUSAM-S-C-3A,5,0.1407,0.3712,0.6,0.6581,0.5604,0.4762,0.025,0.011645
THUSAM-S-C-3A,6,0.0766,0.2327,0.4,0.4311,0.3801,0.35,0.333333333,0.102133333
THUSAM-S-C-3A,7,0.2406,0.6182,1,0.4949,0.4131,0.3478,0.345,0.17789925
THUSAM-S-C-3A,8,0.2564,0.3758,0.5,0.6055,0.5427,0.5,0.625,0.28703125
THUSAM-S-C-3A,9,0.1878,0.2903,0.4,0.2708,0.3669,0.4615,0.466666667,0.153346667
THUSAM-S-C-3A,10,0.0262,0.1393,0.25,0.4934,0.6232,0.75,0.102222222,0.038972222
THUSAM-S-C-3A,11,0.1841,0.5877,1,0.3979,0.3392,0.3125,0.341666667,0.158345417
THUSAM-S-C-3A,12,0.1798,0.3377,0.5,0.5477,0.4655,0.4,0.166666667,0.066933333
THUSAM-S-C-3A,13,0.1565,0.5766,1,0.5751,0.6093,0.6667,0.3,0.177885
THUSAM-S-C-3A,14,0.1319,0.4432,0.75,0.4463,0.4491,0.48,0.35,0.1561525
THUSAM-S-C-3A,15,0.2102,0.6077,1,0.6321,0.6299,0.6471,0.666666667,0.412533334
THUSAM-S-C-3A,16,0.1348,0.2646,0.4,0.1645,0.1569,0.1591,0.45,0.0948375
THUSAM-S-C-3A,17,0,0,0,0.0626,0.0832,0.1,0,0
THUSAM-S-C-3A,18,0.2256,0.4441,0.6667,0.3036,0.2657,0.25,0.15,0.039855
THUSAM-S-C-3A,19,0.1799,0.3389,0.5,0.492,0.3814,0.2941,0.075,0.028605
THUSAM-S-C-3A,20,0.1664,0.2823,0.4,0.5142,0.4884,0.45,0.375,0.18315
THUSAM-S-C-3A,21,0.249,0.4579,0.6667,0.1144,0.1177,0.12,0.08,0.009416
THUSAM-S-C-3A,22,0.095,0.1764,0.25,0.4932,0.3216,0.1667,0.125,0.0402
THUSAM-S-C-3A,23,0.1411,0.5663,1,0.4729,0.3478,0.25,1,0.3478
THUSAM-S-C-3A,24,0.1416,0.396,0.6667,0.1948,0.2153,0.2571,0.186666667,0.040189333
THUSAM-S-C-3A,25,0.2848,0.2421,0.2,0.6202,0.6219,0.6364,0.625,0.3886875
THUSAM-S-C-3A,26,0.2081,0.4051,0.6,0.4768,0.454,0.45,0.265396825,0.120490159
THUSAM-S-C-3A,27,0.0819,0.3749,0.6667,0.5308,0.5528,0.6,0.875,0.4837
THUSAM-S-C-3A,28,0.1876,0.3428,0.5,0.5484,0.467,0.4074,0.302777778,0.141397222
THUSAM-S-C-3A,29,0.233,0.2816,0.3333,0.2655,0.2812,0.32,0.077777778,0.021871111
THUSAM-S-C-3A,30,0.1145,0.2141,0.3333,0.3164,0.3238,0.36,0.258333333,0.083648333
THUSAM-S-C-3A,31,0.1568,0.4102,0.6667,0.2845,0.2387,0.2143,0.277777778,0.066305556
THUSAM-S-C-3A,32,0.1242,0.313,0.5,0.4812,0.382,0.3077,1,0.382
THUSAM-S-C-3A,33,0.2275,0.6377,1,0,0,0,0,0
THUSAM-S-C-4A,1,0.1656,0.2838,0.4,0.7142,0.5691,0.4286,0.32,0.136464
THUSAM-S-C-4A,2,0.1125,0.2498,0.4,0.5665,0.6316,0.7143,0.25,0.110175
THUSAM-S-C-4A,3,0.2131,0.3056,0.4,0.2636,0.4012,0.5385,0.1,0.03534
THUSAM-S-C-4A,4,0.101,0.3063,0.5,0.5118,0.4574,0.425,0.32,0.122192
THUSAM-S-C-4A,5,0.1407,0.3712,0.6,0.6581,0.5604,0.4762,0.025,0.011645
THUSAM-S-C-4A,6,0.0766,0.2327,0.4,0.4311,0.3801,0.35,0.333333333,0.102133333
THUSAM-S-C-4A,7,0.2406,0.6182,1,0.4949,0.4131,0.3478,0.345,0.17789925
THUSAM-S-C-4A,8,0.2564,0.3758,0.5,0.6826,0.583,0.5,0.625,0.299625
THUSAM-S-C-4A,9,0.1878,0.2903,0.4,0.2708,0.3669,0.4615,0.466666667,0.153346667
THUSAM-S-C-4A,10,0.0262,0.1393,0.25,0.4934,0.6232,0.75,0.102222222,0.038972222
THUSAM-S-C-4A,11,0.1841,0.5877,1,0.3979,0.3392,0.3125,0.341666667,0.158345417
THUSAM-S-C-4A,12,0.1798,0.3377,0.5,0.5477,0.4655,0.4,0.166666667,0.066933333
THUSAM-S-C-4A,13,0.1565,0.5766,1,0.5751,0.6093,0.6667,0.3,0.177885
THUSAM-S-C-4A,14,0.1319,0.4432,0.75,0.4463,0.4491,0.48,0.35,0.1561525
