,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
CNU-S-C-2A,31,0.7431,0.6945,0.6667,0.1467,0.1822,0.2143,0.888888889,0.161955556
CNU-S-C-2A,32,0.7688,0.6219,0.5,0.2882,0.212,0.1538,0.866666667,0.183733333
CNU-S-C-2A,33,0,0,0,0,0,0,0,0
CNU-S-C-3A,1,0.4709,0.3354,0.2,0.2068,0.1958,0.2143,0,0
CNU-S-C-3A,2,0.4135,0.3024,0.2,0.2303,0.2822,0.3571,0.625,0.1826875
CNU-S-C-3A,3,0.3462,0.3065,0.2,0.2426,0.2225,0.2308,0.4,0.1058
CNU-S-C-3A,4,0.5311,0.756,1,0.1362,0.0837,0.05,1,0.41985
CNU-S-C-3A,5,0.5959,0.4923,0.4,0.2147,0.1855,0.1905,0.916666667,0.310658333
CNU-S-C-3A,6,0.3133,0.2898,0.2,0.2209,0.2254,0.25,0.333333333,0.085866667
CNU-S-C-3A,7,0.566,0.7853,1,0.0632,0.043,0.0435,0,0
CNU-S-C-3A,8,0.5444,0.7702,1,0.1421,0.5613,1,0,0
CNU-S-C-3A,9,0.2391,0.1908,0.2,0.0801,0.0699,0.0769,0.5,0.065175
CNU-S-C-3A,10,0.4603,0.3536,0.25,0.1094,0.1032,0.125,0.25,0.0571
CNU-S-C-3A,11,0.6116,0.5372,0.5,0.1457,0.1232,0.125,0.5,0.1651
CNU-S-C-3A,12,0.5917,0.793,1,0.1003,0.0827,0.0667,0.75,0.3283875
CNU-S-C-3A,13,0.5651,0.6535,0.75,0.2181,0.4289,0.6667,0.666666667,0.3608
CNU-S-C-3A,14,0.5768,0.4097,0.25,0.1918,0.1027,0.04,1,0.2562
CNU-S-C-3A,15,0.198,0.2857,0.3333,0.2418,0.2233,0.2353,0.4,0.1018
CNU-S-C-3A,16,0.2828,0.2709,0.2,0.0262,0.034,0.0455,0.5,0.076225
CNU-S-C-3A,17,0,0,0,0,0,0,0,0
CNU-S-C-3A,18,0.1247,0.2344,0.3333,0.0311,0.0566,0.0833,0,0
CNU-S-C-3A,19,0.5315,0.5135,0.5,0.1453,0.1174,0.1176,0.75,0.08805
CNU-S-C-3A,20,0.2669,0.2615,0.2,0.1687,0.1968,0.25,0.166666667,0.0328
CNU-S-C-3A,21,0.9288,0.8038,0.6667,0.2418,0.2445,0.28,0.133333333,0.0326
CNU-S-C-3A,22,0.4123,0.3268,0.25,0.1989,0.1426,0.1111,0.833333333,0.118833333
CNU-S-C-3A,23,0.5079,0.4967,0.5,0.1178,0.1164,0.125,1,0.1164
CNU-S-C-3A,24,0.735,0.5339,0.3333,0.4485,0.5512,0.6571,0.634509804,0.349741804
CNU-S-C-3A,25,0.3218,0.2933,0.2,0.0506,0.0724,0.0909,1,0.0724
CNU-S-C-3A,26,0.214,0.2296,0.2,0.14,0.1567,0.2,0.4,0.06268
CNU-S-C-3A,27,0.5096,0.5918,0.6667,0.1818,0.2773,0.4,1,0.2773
CNU-S-C-3A,28,0.5544,0.525,0.5,0.2098,0.1268,0.0741,1,0.1268
CNU-S-C-3A,29,0,0,0,0.0378,0.0402,0.04,1,0.0402
CNU-S-C-3A,30,0.2628,0.3237,0.3333,0,0.02,0.04,0.4,0.008
CNU-S-C-3A,31,0.6958,0.6699,0.6667,0.1682,0.1465,0.1429,0,0
CNU-S-C-3A,32,0.5257,0.4991,0.5,0.1562,0.1321,0.1154,0.625,0.0825625
CNU-S-C-3A,33,0,0,0,0,0,0,0,0
CNU-S-C-4A,1,0.5054,0.4504,0.4,0.1999,0.1942,0.2143,0.833333333,0.268583333
CNU-S-C-4A,2,0.7175,0.6462,0.6,0.3151,0.3214,0.3571,0.8,0.38704
CNU-S-C-4A,3,0.9818,0.6756,0.4,0.3373,0.3446,0.3846,0.133333333,0.068013333
CNU-S-C-4A,4,0,0.7615,0.5,0.2488,0.1361,0.05,0.9,0.40392
CNU-S-C-4A,5,0.8517,0.6129,0.4,0.2425,0.2345,0.2381,0.52,0.220324
CNU-S-C-4A,6,0.9237,0.7505,0.6,0.2714,0.2979,0.35,0.6,0.31452
CNU-S-C-4A,7,0.566,0.7853,1,0.0632,0.043,0.0435,0,0
CNU-S-C-4A,8,0.2568,0.4043,0.5,0.0729,0.2888,0.5,0,0
CNU-S-C-4A,9,0.3207,0.3579,0.4,0.058,0.0648,0.0769,0,0
CNU-S-C-4A,10,0.3776,0.3358,0.25,0.2001,0.2111,0.25,0.2,0.05469
CNU-S-C-4A,11,0.9449,0.9757,1,0.3442,0.2803,0.25,0.2,0.1256
CNU-S-C-4A,12,0,0,1,0.2429,0.2086,0.2,0.8,0.08344
CNU-S-C-4A,13,0.8921,0.941,1,0.3462,0.6587,1,0.72,0.575892
CNU-S-C-4A,14,0.9789,0.6152,0.25,0.3703,0.2098,0.08,0.866666667,0.3575
CNU-S-C-4A,15,0.7864,0.7142,0.6667,0.3327,0.3289,0.3529,0.55,0.2868525
CNU-S-C-4A,16,0.9791,0.6895,0.4,0.1172,0.0878,0.0682,0.1,0.038865
CNU-S-C-4A,17,0.294,0.2769,0.2,0.0889,0.0732,0.05,0,0
CNU-S-C-4A,18,0,0,0,0,0,0,0,0
CNU-S-C-4A,19,0.965,0.7327,0.5,0.3193,0.2349,0.1765,0.56,0.131544
CNU-S-C-4A,20,0.9076,0.8536,0.8,0.2292,0.2576,0.3,0.28,0.072128
CNU-S-C-4A,21,0,0,0,0,0,0,0,0
CNU-S-C-4A,22,0.6722,0.542,0.5,0.2812,0.2395,0.2222,0.7,0.16765
CNU-S-C-4A,23,0.5939,0.5401,0.5,0.1656,0.1644,0.1875,0.666666667,0.1096
CNU-S-C-4A,24,0,0,0,0,0,0,0,0
CNU-S-C-4A,25,0.3218,0.2933,0.2,0.0506,0.0724,0.0909,1,0.0724
CNU-S-C-4A,26,0.8846,0.8374,0.8,0.2265,0.2358,0.25,0.52,0.122616
CNU-S-C-4A,27,0.9415,0.7953,0.6667,0.3799,0.3746,0.4,0.6,0.22476
CNU-S-C-4A,28,0.9781,0.7399,0.5,0.3091,0.1982,0.1111,0.966666667,0.191593333
CNU-S-C-4A,29,0,0,0,0.0378,0.0402,0.04,1,0.0402
CNU-S-C-4A,30,0.9268,0.7915,0.6667,0.1024,0.0982,0.12,0.15,0.01473
CNU-S-C-4A,31,0.86,0.7621,0.6667,0.1859,0.1891,0.2143,0.8,0.15128
CNU-S-C-4A,32,0.925,0.8311,0.75,0.2941,0.2143,0.1538,0.75,0.160725
CNU-S-C-4A,33,0,0,0,0,0,0,0,0
FRDC-S-C-1A,1,0.6945,0.7436,0.8,0.4217,0.4215,0.4286,0.41,0.2388455
FRDC-S-C-1A,2,0.5964,0.464,0.4,0.2821,0.3622,0.4286,0.28,0.115668
FRDC-S-C-1A,3,0.5706,0.6883,0.8,0.4914,0.4252,0.3846,0.383333333,0.213420833
FRDC-S-C-1A,4,0.4646,0.4795,0.5,0.1357,0.1033,0.075,0.35,0.10199
FRDC-S-C-1A,5,0.7974,0.6968,0.6,0.5283,0.3715,0.2381,0.286666667,0.153123
FRDC-S-C-1A,6,0.6159,0.5168,0.4,0.354,0.2912,0.25,0.5,0.202
FRDC-S-C-1A,7,0.865,0.934,1,0.1873,0.2039,0.2174,0.08,0.045516
FRDC-S-C-1A,8,0.4804,0.7384,1,0.3829,0.4262,0.5,0.14,0.081522
FRDC-S-C-1A,9,0.6449,0.6501,0.6,0.2382,0.2924,0.3462,0.24,0.1131
FRDC-S-C-1A,10,0.8073,0.7687,0.75,0.2102,0.3618,0.5,0.321428571,0.1816875
