runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005
KLE-S-J-1A,0110,0.7371,0.6393,0.6
KLE-S-J-1A,0111,0.7486,0.6248,0.5
KLE-S-J-1A,0112,0.4905,0.3061,0.25
KLE-S-J-1A,0113,0.1679,0.2517,0.3333
KLE-S-J-1A,0114,0.4302,0.4138,0.4
KLE-S-J-1A,0115,0.4742,0.5369,0.6667
KLE-S-J-1A,0116,0.5756,0.4526,0.4
KLE-S-J-1A,0117,0.7798,0.5894,0.4
KLE-S-J-1A,0118,0.1518,0.182,0.2
KLE-S-J-1A,0119,0.302,0.3584,0.4
KLE-S-J-1A,0120,0.7397,0.5837,0.5
KLE-S-J-1A,0121,0.6464,0.4145,0.25
KLE-S-J-1A,0122,0.5024,0.4888,0.4
KLE-S-J-1A,0123,0.7734,0.6925,0.6
KLE-S-J-1A,0124,0.3335,0.3725,0.4
KLE-S-J-1A,0125,0.8715,0.7413,0.6
KLE-S-J-1A,0126,0.8809,0.7385,0.6
KLE-S-J-1A,0127,0.4028,0.4256,0.5
KLE-S-J-1A,0128,0.5921,0.57,0.6
KLE-S-J-1A,0129,0.0,0.0,0.0
KLE-S-J-1A,0130,0.1381,0.3239,0.5
KLE-S-J-1A,0131,0.4921,0.5414,0.6
KLE-S-J-1A,0132,0.3366,0.2803,0.2
KLE-S-J-1A,0133,0.2473,0.2422,0.25
KLE-S-J-1A,0134,0.0,0.0,0.0
KLE-S-J-3A,0101,0.5739,0.5615,0.6
KLE-S-J-3A,0102,0.3457,0.4138,0.5
KLE-S-J-3A,0103,0.4307,0.6935,1.0
KLE-S-J-3A,0104,0.1697,0.2046,0.25
KLE-S-J-3A,0105,0.3485,0.5285,0.6667
KLE-S-J-3A,0106,0.4028,0.5598,0.75
KLE-S-J-3A,0107,0.2558,0.3817,0.5
KLE-S-J-3A,0108,0.6177,0.4512,0.4
KLE-S-J-3A,0109,0.61,0.6022,0.5
KLE-S-J-3A,0110,0.2528,0.3273,0.4
KLE-S-J-3A,0111,0.3829,0.4682,0.5
KLE-S-J-3A,0112,0.4959,0.6227,0.75
KLE-S-J-3A,0113,0.0,0.0,0.0
KLE-S-J-3A,0114,0.1446,0.2823,0.4
KLE-S-J-3A,0115,0.3478,0.531,0.6667
KLE-S-J-3A,0116,0.4499,0.5044,0.6
KLE-S-J-3A,0117,0.3468,0.3748,0.4
KLE-S-J-3A,0118,0.6475,0.5585,0.4
KLE-S-J-3A,0119,0.2909,0.3525,0.4
KLE-S-J-3A,0120,0.2314,0.2217,0.25
KLE-S-J-3A,0121,0.3878,0.4659,0.5
KLE-S-J-3A,0122,0.4618,0.5,0.6
KLE-S-J-3A,0123,0.5696,0.5914,0.6
KLE-S-J-3A,0124,0.3429,0.2721,0.2
KLE-S-J-3A,0125,0.314,0.2747,0.2
KLE-S-J-3A,0126,0.7835,0.8062,0.8
KLE-S-J-3A,0127,0.6045,0.6744,0.75
KLE-S-J-3A,0128,0.2045,0.3174,0.4
KLE-S-J-3A,0129,0.6798,0.7498,0.75
KLE-S-J-3A,0130,0.1484,0.182,0.25
KLE-S-J-3A,0131,0.2938,0.3518,0.4
KLE-S-J-3A,0132,0.2304,0.2174,0.2
KLE-S-J-3A,0133,0.4312,0.4398,0.5
KLE-S-J-3A,0134,0.1816,0.2603,0.3333
