runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
KLE-S-J-1A,0107,0.2035,0.3061,0.3846
KLE-S-J-1A,0108,0.1617,0.2964,0.4118
KLE-S-J-1A,0109,0.3672,0.4994,0.5714
KLE-S-J-1A,0110,0.3356,0.6274,0.8889
KLE-S-J-1A,0111,0.2423,0.4703,0.6667
KLE-S-J-1A,0112,0.1605,0.2764,0.375
KLE-S-J-1A,0113,0.1272,0.2437,0.3333
KLE-S-J-1A,0114,0.1414,0.2949,0.4286
KLE-S-J-1A,0115,0.2318,0.3357,0.4167
KLE-S-J-1A,0116,0.4304,0.5511,0.6316
KLE-S-J-1A,0117,0.2606,0.4082,0.5455
KLE-S-J-1A,0118,0.3937,0.5208,0.625
KLE-S-J-1A,0119,0.3763,0.4408,0.48
KLE-S-J-1A,0120,0.4947,0.5673,0.65
KLE-S-J-1A,0121,0.2681,0.3621,0.4375
KLE-S-J-1A,0122,0.3943,0.4025,0.4231
KLE-S-J-1A,0123,0.4493,0.5881,0.7143
KLE-S-J-1A,0124,0.3252,0.404,0.45
KLE-S-J-1A,0125,0.3013,0.4415,0.5652
KLE-S-J-1A,0126,0.5978,0.6732,0.75
KLE-S-J-1A,0127,0.5093,0.5216,0.5455
KLE-S-J-1A,0128,0.2869,0.4784,0.6667
KLE-S-J-1A,0129,0.1202,0.3089,0.5
KLE-S-J-1A,0130,0.281,0.5274,0.75
KLE-S-J-1A,0131,0.3621,0.4596,0.55
KLE-S-J-1A,0132,0.3126,0.4107,0.4737
KLE-S-J-1A,0133,0.1793,0.4863,0.7692
KLE-S-J-1A,0134,0.2822,0.6652,1.0
KLE-S-J-3A,0101,0.2501,0.5164,0.75
KLE-S-J-3A,0102,0.1259,0.4064,0.6667
KLE-S-J-3A,0103,0.1914,0.6165,1.0
KLE-S-J-3A,0104,0.4303,0.5877,0.7273
KLE-S-J-3A,0105,0.459,0.5494,0.6667
KLE-S-J-3A,0106,0.4059,0.6198,0.7895
KLE-S-J-3A,0107,0.1652,0.2464,0.3077
KLE-S-J-3A,0108,0.4866,0.4759,0.4706
KLE-S-J-3A,0109,0.4043,0.4698,0.5714
KLE-S-J-3A,0110,0.3463,0.6343,0.8889
KLE-S-J-3A,0111,0.1996,0.3314,0.4444
KLE-S-J-3A,0112,0.2206,0.4362,0.625
KLE-S-J-3A,0113,0.2027,0.4557,0.6667
KLE-S-J-3A,0114,0.2171,0.4106,0.5714
KLE-S-J-3A,0115,0.2475,0.3423,0.4167
KLE-S-J-3A,0116,0.6226,0.6516,0.6842
KLE-S-J-3A,0117,0.271,0.5051,0.7273
KLE-S-J-3A,0118,0.2525,0.4165,0.5625
KLE-S-J-3A,0119,0.4223,0.5063,0.56
KLE-S-J-3A,0120,0.5424,0.6069,0.65
KLE-S-J-3A,0121,0.2877,0.3761,0.4375
KLE-S-J-3A,0122,0.3543,0.4564,0.5385
KLE-S-J-3A,0123,0.3417,0.5453,0.7143
KLE-S-J-3A,0124,0.3147,0.4728,0.6
KLE-S-J-3A,0125,0.4935,0.584,0.6522
KLE-S-J-3A,0126,0.3904,0.5339,0.65
KLE-S-J-3A,0127,0.5721,0.6575,0.7273
KLE-S-J-3A,0128,0.3427,0.5896,0.8333
KLE-S-J-3A,0129,0.2937,0.6694,1.0
KLE-S-J-3A,0130,0.2548,0.5151,0.75
KLE-S-J-3A,0131,0.4496,0.5423,0.65
KLE-S-J-3A,0132,0.5113,0.5069,0.5263
KLE-S-J-3A,0133,0.1998,0.4173,0.6154
KLE-S-J-3A,0134,0.5137,0.6402,0.75
