hultech-S-E-1A,0.6763625,0.3341125,0.464578125
hultech-S-E-2A,0.344409375,0.360790625,0.464809375
hultech-S-E-3A,0.6763625,0.3341125,0.464578125
hultech-S-E-4A,0.342625,0.3671125,0.469103125
KLE-S-E-1A,0.740478125,0.389690625,0.7151875
KLE-S-E-2A,0.736134375,0.393259375,0.728409375
KLE-S-E-3A,0.74235,0.4145125,0.718078125
KLE-S-E-4A,0.7398,0.407865625,0.71598125
KUIDL-S-E-1A,0.57740625,0.318934375,0.6402
Sem13-S-E-1A,0.2415625,0.16133125,0.476928125
Sem13-S-E-2A,0.232925,0.148021875,0.47285625
Sem13-S-E-3A,0.21745,0.1663,0.4323625
Sem13-S-E-4A,0.147271875,0.061478125,0.448315625
Sem13-S-E-5A,0.168440625,0.0721375,0.477078125
THUSAM-S-E-1A,0.521746875,0.21503125,0.446875
THUSAM-S-E-2A,0.43164375,0.343584375,0.51583125
TUTA1-S-E-1A,0.30489375,0.37144375,0.43039375
udel-S-E-1A,0.40884375,0.166453125,0.406296875
UM13-S-E-1A,0.00720625,0.005815625,0.005815625
UM13-S-E-2A,0.00720625,0.005815625,0.005815625
UM13-S-E-3A,0.00443125,0.005815625,0.005815625
