runname,h-score,f-score,s-score,h-measure
KLE-S-E-1A,0.117929292909,0.610539393939,0.7298,0.083723437697
KLE-S-E-2A,0.119393939394,0.618775757576,0.734175757576,0.0855497575741
KLE-S-E-3A,0.127287157273,0.6536,0.731654545455,0.0931215156242
KLE-S-E-4A,0.124213564212,0.648333333333,0.729354545455,0.0891646774864
KUIDL-S-E-1A,0.919044636,0.597803030303,0.596433333333,0.545367441316
Sem13-S-E-1A,0.176156806121,0.276624242424,0.368921212121,0.0515577104204
Sem13-S-E-2A,0.184437229394,0.277196969697,0.356603030303,0.0518367252144
Sem13-S-E-3A,0.186031746,0.241857575758,0.333315151515,0.0474367730815
Sem13-S-E-4A,0.167150072152,0.2184,0.30393030303,0.0406727641902
Sem13-S-E-5A,0.158001443,0.233493939394,0.328454545455,0.0389257260749
THUSAM-S-E-1A,0.806495911545,0.531166666667,0.483496969697,0.427667249429
THUSAM-S-E-2A,0.263427128424,0.435821212121,0.473233333333,0.118086879027
TUTA1-S-E-1A,0.193250258909,0.280633333333,0.364736363636,0.0665689108374
UM13-S-E-1A,0.205627705636,0.116875757576,0.00592121212121,0.0140362373722
UM13-S-E-2A,0.206413339758,0.116875757576,0.00592121212121,0.0144242031428
UM13-S-E-3A,0.176567259909,0.116875757576,0.00485151515152,0.0102714552299
hultech-S-E-1A,0.170303030303,0.634433333333,0.575372727273,0.0750440909091
hultech-S-E-2A,0.359586339545,0.634433333333,0.397687878788,0.169451268382
hultech-S-E-3A,0.170303030303,0.634433333333,0.575372727273,0.0750440909091
hultech-S-E-4A,0.305454545455,0.57366969697,0.398084848485,0.144447355211
udel-S-E-1A,0.366443001455,0.18483030303,0.410303030303,0.11071255436
