,,F-score,,,S-score,,,H-Score
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
KLE-S-E-2A,62,0.6519,0.4892,0.3333,0.8679,0.8669,0.8571,0.18
KLE-S-E-2A,63,0.8135,0.7791,0.75,0.8579,0.6755,0.5,0.08
KLE-S-E-2A,64,0.8044,0.6024,0.4,0.8098,0.7933,0.7778,0.04
KLE-S-E-2A,65,0.6835,0.6451,0.6,0.8138,0.6513,0.4667,0.1
KLE-S-E-2A,66,0.7151,0.6593,0.6,0.6567,0.6733,0.6842,0.1
KLE-S-E-2A,67,1,0.6666,0.3333,0.9437,0.7218,0.5,0.06
KLE-S-E-2A,68,0.8317,0.5816,0.3333,0.9329,0.8951,0.8571,0.12
KLE-S-E-2A,69,0.8833,0.6924,0.5,0.7513,0.7339,0.7273,0.14
KLE-S-E-2A,70,0.8649,0.5579,0.25,0.8594,0.9264,1,0.18
KLE-S-E-2A,71,0.858,0.7529,0.6667,0.8973,0.9017,0.9091,0.06
KLE-S-E-2A,72,0.3927,0.3338,0.3333,0.8009,0.8996,1,0.12
KLE-S-E-2A,73,0.4849,0.5653,0.6,0.6841,0.7454,0.8,0.06
KLE-S-E-2A,74,0.9133,0.7494,0.6,0.9241,0.7735,0.625,0.273333333
KLE-S-E-2A,75,0.576,0.4642,0.4,0.8133,0.7529,0.6923,0.08
KLE-S-E-2A,76,0.77,0.7117,0.6667,0.4451,0.4743,0.5,0.106666667
KLE-S-E-2A,77,0.9021,0.646,0.4,0.5187,0.5634,0.6,0.18
KLE-S-E-2A,78,0.8353,0.7475,0.6667,0.9088,0.9542,1,0.1
KLE-S-E-2A,79,0.8332,0.9201,1,0.861,0.7285,0.6,0.1
KLE-S-E-2A,80,0.8241,0.6632,0.5,0.8085,0.7935,0.7692,0.16
KLE-S-E-2A,81,0.9005,0.7418,0.6,0.5062,0.5742,0.625,0.1
KLE-S-E-2A,82,0.8066,0.9023,1,0.7705,0.8485,0.9231,0.16
KLE-S-E-2A,83,0.4558,0.6062,0.8,0.6577,0.7678,0.8824,0.24
KLE-S-E-3A,51,0.7808,0.887,1,0.4971,0.4931,0.4762,0.14
KLE-S-E-3A,52,0.7065,0.8504,1,0.5189,0.5895,0.6429,0.06
KLE-S-E-3A,53,0.8386,0.9022,1,0.6797,0.6828,0.7,0.068571429
KLE-S-E-3A,54,0.7541,0.6774,0.6,0.6946,0.6961,0.7059,0.1
KLE-S-E-3A,55,0.6599,0.5264,0.4,0.7351,0.6689,0.6111,0.12
KLE-S-E-3A,56,0.1864,0.2093,0.2,0.2894,0.2699,0.25,0.02
KLE-S-E-3A,57,0.6491,0.5175,0.4,0.5762,0.6573,0.75,0.06
KLE-S-E-3A,58,0.7412,0.6683,0.6,0.824,0.9172,1,0.06
KLE-S-E-3A,59,0.4733,0.5549,0.6,0.5585,0.691,0.8235,0.062222222
KLE-S-E-3A,60,0.7249,0.7576,0.8,0.8831,0.9421,1,0.68
KLE-S-E-3A,61,0.6999,0.6604,0.6,0.8625,0.7058,0.5455,0.08
KLE-S-E-3A,62,0.7423,0.7067,0.6667,0.8911,0.8778,0.8571,0.22
KLE-S-E-3A,63,0.7372,0.7351,0.75,0.8061,0.6002,0.4,0.108571429
KLE-S-E-3A,64,0.7687,0.4819,0.2,0.7647,0.8845,1,0.1
KLE-S-E-3A,65,0.6679,0.5386,0.4,0.8928,0.6797,0.4667,0.1
KLE-S-E-3A,66,0.7972,0.788,0.8,0.5763,0.6407,0.6842,0.08
KLE-S-E-3A,67,0.8824,0.6079,0.3333,0.9374,0.7185,0.5,0.085
KLE-S-E-3A,68,0.7594,0.5463,0.3333,0.9312,0.8948,0.8571,0.18
KLE-S-E-3A,69,0.7794,0.6403,0.5,0.7287,0.7233,0.7273,0.16
KLE-S-E-3A,70,0.9038,0.5771,0.25,0.9501,0.9758,1,0.12
KLE-S-E-3A,71,0.5121,0.5665,0.6667,0.8728,0.801,0.7273,0.12
KLE-S-E-3A,72,0.8905,0.7778,0.6667,0.8471,0.9223,1,0.06
KLE-S-E-3A,73,0.4106,0.4247,0.4,0.7302,0.768,0.8,0
KLE-S-E-3A,74,0.8613,0.6302,0.4,0.9669,0.8585,0.75,0.262222222
KLE-S-E-3A,75,0.528,0.4888,0.4,0.8586,0.7334,0.6154,0.16
KLE-S-E-3A,76,0.7868,0.7193,0.6667,0.5924,0.5429,0.5,0.182222222
KLE-S-E-3A,77,0.6977,0.5362,0.4,0.5282,0.5957,0.6667,0.08
KLE-S-E-3A,78,0.7954,0.8922,1,0.9117,0.9564,1,0.08
KLE-S-E-3A,79,0.7875,0.8974,1,0.8177,0.7395,0.6667,0.142222222
KLE-S-E-3A,80,0.7474,0.8751,1,0.7904,0.8223,0.8462,0.1
KLE-S-E-3A,81,0.7825,0.588,0.4,0.4898,0.5337,0.5625,0.08
KLE-S-E-3A,82,0.7221,0.8609,1,0.7519,0.8011,0.8462,0.225
KLE-S-E-3A,83,0.5559,0.4784,0.4,0.6371,0.7608,0.8824,0.104444444
KLE-S-E-4A,51,0.7808,0.887,1,0.4966,0.4929,0.4762,0.14
KLE-S-E-4A,52,0.7065,0.8504,1,0.519,0.5896,0.6429,0.06
KLE-S-E-4A,53,0.8386,0.9022,1,0.7281,0.7585,0.8,0.06
KLE-S-E-4A,54,0.7541,0.6774,0.6,0.688,0.722,0.7647,0.1
KLE-S-E-4A,55,0.6599,0.5264,0.4,0.7351,0.6689,0.6111,0.12
KLE-S-E-4A,56,0.1864,0.2093,0.2,0.2894,0.2699,0.25,0.02
KLE-S-E-4A,57,0.6491,0.5175,0.4,0.5762,0.6573,0.75,0.06
KLE-S-E-4A,58,0.7412,0.6683,0.6,0.8252,0.9179,1,0.06
KLE-S-E-4A,59,0.4733,0.5549,0.6,0.5809,0.7029,0.8235,0.08
KLE-S-E-4A,60,0.6473,0.7147,0.8,0.8646,0.9325,1,0.72
KLE-S-E-4A,61,0.6999,0.6604,0.6,0.8609,0.7051,0.5455,0.08
KLE-S-E-4A,62,0.7215,0.6971,0.6667,0.8691,0.866,0.8571,0.085
KLE-S-E-4A,63,0.7372,0.7351,0.75,0.8433,0.62,0.4,0.1
KLE-S-E-4A,64,0.7687,0.4819,0.2,0.8027,0.9046,1,0.1
KLE-S-E-4A,65,0.7029,0.5466,0.4,0.8657,0.6989,0.5333,0.04
KLE-S-E-4A,66,0.7972,0.788,0.8,0.5763,0.6407,0.6842,0.08
KLE-S-E-4A,67,0.8824,0.6079,0.3333,0.9657,0.7333,0.5,0.06
KLE-S-E-4A,68,0.7594,0.5463,0.3333,0.9266,0.8923,0.8571,0.16
KLE-S-E-4A,69,0.7794,0.6403,0.5,0.7322,0.7707,0.8182,0.16
KLE-S-E-4A,70,0.8154,0.5372,0.25,0.9593,0.9807,1,0.2
KLE-S-E-4A,71,0.5121,0.5665,0.6667,0.8666,0.7977,0.7273,0.1
KLE-S-E-4A,72,0.8905,0.7778,0.6667,0.8333,0.915,1,0.06
KLE-S-E-4A,73,0.4106,0.4247,0.4,0.7302,0.768,0.8,0
KLE-S-E-4A,74,0.8022,0.6009,0.4,0.8481,0.6706,0.5,0.265714286
KLE-S-E-4A,75,0.528,0.4888,0.4,0.8622,0.7352,0.6154,0.14
KLE-S-E-4A,76,0.7868,0.7193,0.6667,0.5742,0.5332,0.5,0.21
KLE-S-E-4A,77,0.7163,0.4474,0.2,0.53,0.5633,0.6,0.12
KLE-S-E-4A,78,0.7954,0.8922,1,0.8873,0.9435,1,0.085
KLE-S-E-4A,79,0.7875,0.8974,1,0.8351,0.7154,0.6,0.12
KLE-S-E-4A,80,0.7474,0.8751,1,0.7913,0.8228,0.8462,0.08
KLE-S-E-4A,81,0.6544,0.6167,0.6,0.4873,0.5324,0.5625,0.1
KLE-S-E-4A,82,0.7221,0.8609,1,0.7231,0.7861,0.8462,0.233333333
KLE-S-E-4A,83,0.5559,0.4784,0.4,0.637,0.7608,0.8824,0.1
KUIDL-S-E-1A,51,0.6075,0.803,1,0.2249,0.2823,0.3333,0.98
KUIDL-S-E-1A,52,0.6358,0.8164,1,0.4897,0.4146,0.3571,1
KUIDL-S-E-1A,53,0.4472,0.5908,0.75,0.5452,0.6146,0.7,1
KUIDL-S-E-1A,54,0.531,0.6558,0.8,0.4885,0.3871,0.2941,1
KUIDL-S-E-1A,55,0.5868,0.5898,0.6,0.5229,0.5444,0.5556,1
KUIDL-S-E-1A,56,0.3777,0.4946,0.6,0.3241,0.3397,0.35,1
KUIDL-S-E-1A,57,0.6377,0.6011,0.6,0.3122,0.3692,0.4375,0.98
KUIDL-S-E-1A,58,0.654,0.7285,0.8,0.5766,0.6506,0.7273,0.955
KUIDL-S-E-1A,59,0.1682,0.1642,0.2,0.2162,0.4055,0.5882,0.977777778
KUIDL-S-E-1A,60,0.6447,0.5232,0.4,0.7293,0.8597,1,0.966666667
KUIDL-S-E-1A,61,0.6945,0.5489,0.4,0.4877,0.51,0.5455,0.8
KUIDL-S-E-1A,62,0.2944,0.3328,0.3333,0.8302,0.8419,0.8571,0.975
KUIDL-S-E-1A,63,0.5194,0.6372,0.75,0.8216,0.7065,0.6,1
KUIDL-S-E-1A,64,0.4979,0.442,0.4,0.5846,0.7336,0.8889,0.807619048
KUIDL-S-E-1A,65,0.5175,0.4571,0.4,0.5013,0.4778,0.4667,0.842539683
KUIDL-S-E-1A,66,0.5885,0.6861,0.8,0.2762,0.3263,0.3684,0.744444444
KUIDL-S-E-1A,67,0.7218,0.863,1,0.731,0.8602,1,0.777777778
KUIDL-S-E-1A,68,0.5348,0.5982,0.6667,0.6581,0.7511,0.8571,1
KUIDL-S-E-1A,69,0.6635,0.8326,1,0.6031,0.4769,0.3636,1
KUIDL-S-E-1A,70,0.8263,0.7874,0.75,0.8655,0.9294,1,0.591825397
KUIDL-S-E-1A,71,0.5351,0.5933,0.6667,0.6199,0.7127,0.8182,0.748015873
KUIDL-S-E-1A,72,0.5302,0.5742,0.6667,0.7069,0.7919,0.8889,0.603601954
KUIDL-S-E-1A,73,0.4165,0.4149,0.4,0.6435,0.6567,0.6667,0.98
KUIDL-S-E-1A,74,0.7055,0.4497,0.2,0.9301,0.7765,0.625,0.92
KUIDL-S-E-1A,75,0.5289,0.4629,0.4,0.6599,0.5515,0.4615,0.96
KUIDL-S-E-1A,76,0.6466,0.825,1,0.6554,0.8291,1,0.96
KUIDL-S-E-1A,77,0.4826,0.462,0.4,0.4203,0.4496,0.4667,0.957777778
KUIDL-S-E-1A,78,0.6188,0.6382,0.6667,0.7281,0.7854,0.8571,1
KUIDL-S-E-1A,79,0.6465,0.8235,1,0.5247,0.5899,0.6667,1
KUIDL-S-E-1A,80,0.6249,0.8137,1,0.6334,0.6179,0.6154,1
KUIDL-S-E-1A,81,0.4964,0.5415,0.6,0.4863,0.4578,0.4375,0.953125
KUIDL-S-E-1A,82,0.7188,0.6197,0.5,0.6796,0.6825,0.6923,0.977777778
KUIDL-S-E-1A,83,0.2679,0.3562,0.4,0.1832,0.2994,0.4118,0.86952381
Sem13-S-E-1A,51,0.4912,0.494,0.5,0.2171,0.1857,0.1429,0.222222222
Sem13-S-E-1A,52,0.4302,0.5281,0.6667,0.2487,0.3807,0.5,0.057142857
Sem13-S-E-1A,53,0.1162,0.1944,0.25,0.2236,0.3088,0.4,0.05
Sem13-S-E-1A,54,0.3767,0.4744,0.6,0.2243,0.3236,0.4118,0
Sem13-S-E-1A,55,0.3054,0.3337,0.4,0.2809,0.3691,0.4444,0.033333333
Sem13-S-E-1A,56,0.2276,0.312,0.4,0.1228,0.19,0.25,0.146666667
Sem13-S-E-1A,57,0.2421,0.3404,0.4,0.3033,0.3291,0.375,0.08
Sem13-S-E-1A,58,0.411,0.2888,0.2,0.3468,0.5458,0.7273,0.15
Sem13-S-E-1A,59,0,0,0,0.2151,0.4067,0.5882,0.36
Sem13-S-E-1A,60,0,0,0,0.2494,0.53,0.8,0.18
