runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
KLE-S-J-2A,126,0.9061,0.7606,0.6,0.534,0.6539,0.75,0.28
KLE-S-J-2A,127,0.7437,0.7492,0.75,0.5606,0.5714,0.5909,0.26
KLE-S-J-2A,128,0.6944,0.7643,0.8,0.3095,0.5181,0.7222,0.32
KLE-S-J-2A,129,0.319,0.3174,0.25,0.1162,0.307,0.5,0.02
KLE-S-J-2A,130,0.5688,0.5186,0.5,0.2059,0.3611,0.5,0.225
KLE-S-J-2A,131,0.4921,0.5414,0.6,0.3621,0.4596,0.55,0.2
KLE-S-J-2A,132,0.1808,0.195,0.2,0.3097,0.4091,0.4737,0.16
KLE-S-J-2A,133,0.3824,0.3148,0.25,0.1798,0.4865,0.7692,0.3
KLE-S-J-2A,134,0.2085,0.2789,0.3333,0.2822,0.6652,1,0
KLE-S-J-3A,101,0.5739,0.5615,0.6,0.2501,0.5164,0.75,0.08
KLE-S-J-3A,102,0.3457,0.4138,0.5,0.1259,0.4064,0.6667,0.2
KLE-S-J-3A,103,0.4307,0.6935,1,0.1914,0.6165,1,0.066666667
KLE-S-J-3A,104,0.1697,0.2046,0.25,0.4303,0.5877,0.7273,0.1
KLE-S-J-3A,105,0.3485,0.5285,0.6667,0.459,0.5494,0.6667,0.16
KLE-S-J-3A,106,0.4028,0.5598,0.75,0.4059,0.6198,0.7895,0.2
KLE-S-J-3A,107,0.2558,0.3817,0.5,0.1652,0.2464,0.3077,0.12
KLE-S-J-3A,108,0.6177,0.4512,0.4,0.4866,0.4759,0.4706,0.34
KLE-S-J-3A,109,0.61,0.6022,0.5,0.4043,0.4698,0.5714,0.14
KLE-S-J-3A,110,0.2528,0.3273,0.4,0.3463,0.6343,0.8889,0.12
KLE-S-J-3A,111,0.3829,0.4682,0.5,0.1996,0.3314,0.4444,0.32
KLE-S-J-3A,112,0.4959,0.6227,0.75,0.2206,0.4362,0.625,0.12
KLE-S-J-3A,113,0,0,0,0.2027,0.4557,0.6667,0
KLE-S-J-3A,114,0.1446,0.2823,0.4,0.2171,0.4106,0.5714,0.04
KLE-S-J-3A,115,0.3478,0.531,0.6667,0.2475,0.3423,0.4167,0.08
KLE-S-J-3A,116,0.4499,0.5044,0.6,0.6226,0.6516,0.6842,0.42
KLE-S-J-3A,117,0.3468,0.3748,0.4,0.271,0.5051,0.7273,0.44
KLE-S-J-3A,118,0.6475,0.5585,0.4,0.2525,0.4165,0.5625,0.26
KLE-S-J-3A,119,0.2909,0.3525,0.4,0.4223,0.5063,0.56,0.28
KLE-S-J-3A,120,0.2314,0.2217,0.25,0.5424,0.6069,0.65,0.286666667
KLE-S-J-3A,121,0.3878,0.4659,0.5,0.2877,0.3761,0.4375,0.24
KLE-S-J-3A,122,0.4618,0.5,0.6,0.3543,0.4564,0.5385,0.3
KLE-S-J-3A,123,0.5696,0.5914,0.6,0.3417,0.5453,0.7143,0.348888889
KLE-S-J-3A,124,0.3429,0.2721,0.2,0.3147,0.4728,0.6,0.12
KLE-S-J-3A,125,0.314,0.2747,0.2,0.4935,0.584,0.6522,0.26
KLE-S-J-3A,126,0.7835,0.8062,0.8,0.3904,0.5339,0.65,0.32
KLE-S-J-3A,127,0.6045,0.6744,0.75,0.5721,0.6575,0.7273,0.5
KLE-S-J-3A,128,0.2045,0.3174,0.4,0.3427,0.5896,0.8333,0.16
KLE-S-J-3A,129,0.6798,0.7498,0.75,0.2937,0.6694,1,0.2
KLE-S-J-3A,130,0.1484,0.182,0.25,0.2548,0.5151,0.75,0.04
KLE-S-J-3A,131,0.2938,0.3518,0.4,0.4496,0.5423,0.65,0.28
KLE-S-J-3A,132,0.2304,0.2174,0.2,0.5113,0.5069,0.5263,0.14
KLE-S-J-3A,133,0.4312,0.4398,0.5,0.1998,0.4173,0.6154,0.22
KLE-S-J-3A,134,0.1816,0.2603,0.3333,0.5137,0.6402,0.75,0
KLE-S-J-4A,101,0.5739,0.5615,0.6,0.2322,0.5061,0.75,0.08
KLE-S-J-4A,102,0.3457,0.4138,0.5,0.1259,0.4064,0.6667,0.2
KLE-S-J-4A,103,0,0,0,0.1983,0.6206,1,0
KLE-S-J-4A,104,0.1697,0.2046,0.25,0.4303,0.5877,0.7273,0.1
KLE-S-J-4A,105,0.3485,0.5285,0.6667,0.459,0.5494,0.6667,0.16
KLE-S-J-4A,106,0.4028,0.5598,0.75,0.4068,0.6202,0.7895,0.2
KLE-S-J-4A,107,0.2286,0.3669,0.5,0.1957,0.3019,0.3846,0.1
KLE-S-J-4A,108,0.6177,0.4512,0.4,0.4866,0.4759,0.4706,0.34
KLE-S-J-4A,109,0.4437,0.3912,0.25,0.4053,0.4703,0.5714,0.08
KLE-S-J-4A,110,0.2182,0.3155,0.4,0.321,0.5627,0.7778,0.1
KLE-S-J-4A,111,0.3829,0.4682,0.5,0.1996,0.3314,0.4444,0.32
KLE-S-J-4A,112,0.4959,0.6227,0.75,0.1982,0.4234,0.625,0.08
KLE-S-J-4A,113,0,0,0,0.2027,0.4557,0.6667,0
KLE-S-J-4A,114,0.1446,0.2823,0.4,0.2171,0.4106,0.5714,0.06
KLE-S-J-4A,115,0.554,0.6178,0.6667,0.2343,0.335,0.4167,0.22
KLE-S-J-4A,116,0.4499,0.5044,0.6,0.6253,0.6795,0.7368,0.42
KLE-S-J-4A,117,0.3468,0.3748,0.4,0.271,0.5051,0.7273,0.42
KLE-S-J-4A,118,0.6475,0.5585,0.4,0.2383,0.3777,0.5,0.26
KLE-S-J-4A,119,0.1918,0.1991,0.2,0.3917,0.4897,0.56,0.24
KLE-S-J-4A,120,0.2314,0.2217,0.25,0.5414,0.6063,0.65,0.2
KLE-S-J-4A,121,0.3878,0.4659,0.5,0.257,0.359,0.4375,0.2
KLE-S-J-4A,122,0.4618,0.5,0.6,0.3191,0.4379,0.5385,0.32
KLE-S-J-4A,123,0.1332,0.1623,0.2,0.2605,0.3572,0.4286,0.12
KLE-S-J-4A,124,0.2199,0.2923,0.4,0.3022,0.4657,0.6,0.16
KLE-S-J-4A,125,0.4617,0.4424,0.4,0.3592,0.4698,0.5652,0.32
KLE-S-J-4A,126,0.6109,0.7018,0.8,0.3904,0.5339,0.65,0.34
KLE-S-J-4A,127,0.5609,0.6596,0.75,0.6284,0.6769,0.7273,0.54
KLE-S-J-4A,128,0.4388,0.5149,0.6,0.364,0.6286,0.8889,0.22
KLE-S-J-4A,129,0.1196,0.1871,0.25,0.2957,0.6705,1,0.04
KLE-S-J-4A,130,0.5094,0.3458,0.25,0.1882,0.2904,0.375,0.12
KLE-S-J-4A,131,0.2461,0.3243,0.4,0.4496,0.5423,0.65,0.3
KLE-S-J-4A,132,0.5921,0.4566,0.4,0.4929,0.4972,0.5263,0.206666667
KLE-S-J-4A,133,0.1773,0.3373,0.5,0.224,0.5473,0.8462,0.42
KLE-S-J-4A,134,0.3985,0.5091,0.6667,0.5712,0.7984,1,0
KUIDL-S-J-1A,101,0.2397,0.4185,0.6,0.196,0.2772,0.3333,0.444285714
KUIDL-S-J-1A,102,0.023,0.1371,0.25,0.1664,0.1802,0.1667,0.630608974
KUIDL-S-J-1A,103,0,0,0,0,0,0,0
KUIDL-S-J-1A,104,0.1308,0.3143,0.5,0.256,0.4066,0.5455,0.367156863
KUIDL-S-J-1A,105,0.1425,0.3931,0.6667,0.0403,0.0637,0.0833,0.144047619
KUIDL-S-J-1A,106,0.1163,0.4409,0.75,0.1018,0.1608,0.2105,0.268518519
KUIDL-S-J-1A,107,0.1104,0.3127,0.5,0.2372,0.3983,0.5385,0.242222222
KUIDL-S-J-1A,108,0.1895,0.3949,0.6,0.2605,0.3524,0.4118,0.392380952
KUIDL-S-J-1A,109,0.0467,0.1472,0.25,0.1743,0.3075,0.4286,0.12
