		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
CNU-S-C-2A	12	0.7559	0.8728	1	CNU-S-C-2A	12	0.2414	0.2081	0.2	CNU-S-C-2A	12	0.666666667
CNU-S-C-2A	13	0.734	0.7344	0.75	CNU-S-C-2A	13	0.3675	0.6698	1	CNU-S-C-2A	13	0.714285714
CNU-S-C-2A	14	0.7492	0.4924	0.25	CNU-S-C-2A	14	0.3639	0.2074	0.08	CNU-S-C-2A	14	0.916666667
CNU-S-C-2A	15	0.6701	0.6694	0.6667	CNU-S-C-2A	15	0.3227	0.2934	0.2941	CNU-S-C-2A	15	0.633333333
CNU-S-C-2A	16	0.5508	0.3698	0.2	CNU-S-C-2A	16	0.1255	0.0904	0.0682	CNU-S-C-2A	16	0.416666667
CNU-S-C-2A	17	0	0	0	CNU-S-C-2A	17	0.0561	0.0491	0.05	CNU-S-C-2A	17	0.333333333
CNU-S-C-2A	18	0	0	0	CNU-S-C-2A	18	0	0	0	CNU-S-C-2A	18	0
CNU-S-C-2A	19	0.7091	0.5972	0.5	CNU-S-C-2A	19	0.3149	0.2314	0.1765	CNU-S-C-2A	19	0.833333333
CNU-S-C-2A	20	0.5049	0.4491	0.4	CNU-S-C-2A	20	0.2562	0.3128	0.4	CNU-S-C-2A	20	0.3
CNU-S-C-2A	21	0.3016	0.3485	0.3333	CNU-S-C-2A	21	0.0531	0.0488	0.04	CNU-S-C-2A	21	0
CNU-S-C-2A	22	0.3383	0.2646	0.25	CNU-S-C-2A	22	0.2921	0.2465	0.2222	CNU-S-C-2A	22	0.916666667
CNU-S-C-2A	23	0.2681	0.4116	0.5	CNU-S-C-2A	23	0.1656	0.1644	0.1875	CNU-S-C-2A	23	1
CNU-S-C-2A	24	0	0	0	CNU-S-C-2A	24	0	0	0	CNU-S-C-2A	24	0
CNU-S-C-2A	25	0.3218	0.2933	0.2	CNU-S-C-2A	25	0.0506	0.0724	0.0909	CNU-S-C-2A	25	1
