runname,id,coarse,fine,ndcg
FRDC-D-C-3A,0013,1.0,0.9865,0.857635239594
FRDC-D-C-3A,0014,0.0,0.0,0.0
FRDC-D-C-3A,0015,0.265,0.2432,0.857635239594
FRDC-D-C-3A,0016,0.0,0.0,0.0
FRDC-D-C-3A,0017,0.5019,0.4309,0.535591327507
FRDC-D-C-3A,0018,0.0,0.0,0.535591327507
FRDC-D-C-3A,0019,0.0,0.0,0.0
FRDC-D-C-3A,0020,0.0,0.0,0.0
FRDC-D-C-3A,0021,0.8622,0.5873,0.681216518525
FRDC-D-C-3A,0022,0.4652,0.4365,0.681216518525
FRDC-D-C-3A,0023,0.0,0.0,0.608572242177
FRDC-D-C-3A,0024,0.6419,0.268,0.608572242177
FRDC-D-C-3A,0025,0.0,0.0,0.0
FRDC-D-C-3A,0026,0.8059,0.688,0.938384362673
FRDC-D-C-3A,0027,0.9259,0.9532,0.922021946707
FRDC-D-C-3A,0028,0.7843,0.5096,0.922021946707
FRDC-D-C-3A,0029,0.0,0.0,0.922021946707
FRDC-D-C-3A,0030,0.9512,0.6903,0.973080668649
FRDC-D-C-3A,0031,0.3135,0.1674,0.973080668649
FRDC-D-C-3A,0032,0.5285,0.3093,0.973080668649
FRDC-D-C-3A,0033,0,0,0.0
FRDC-D-C-3A,0034,0,0,0.973080668649
FRDC-D-C-3A,0035,0,0,0.973080668649
FRDC-D-C-3A,0036,0,0,0.973080668649
FRDC-D-C-3A,0037,0,0,0.51785581814
FRDC-D-C-3A,0038,0,0,0.0
FRDC-D-C-3A,0039,0,0,0.535354082487
FRDC-D-C-3A,0040,0,0,0.535354082487
FRDC-D-C-3A,0041,0,0,0.706870759512
FRDC-D-C-3A,0042,0,0,0.706870759512
FRDC-D-C-3A,0043,0,0,0.706870759512
FRDC-D-C-3A,0044,0,0,0.440711789101
FRDC-D-C-3A,0045,0,0,0.0
FRDC-D-C-3A,0046,0,0,0.440711789101
FRDC-D-C-3A,0047,0,0,0.616346407097
FRDC-D-C-3A,0048,0,0,0.616346407097
FRDC-D-C-3A,0049,0,0,0.597081259363
FRDC-D-C-3A,0050,0,0,0.597081259363
FRDC-D-C-4A,0001,0.4753,0.3065,0.328996612045
FRDC-D-C-4A,0002,0.7292,0.6447,0.608194225906
FRDC-D-C-4A,0003,0.0,0.0,0.0
FRDC-D-C-4A,0004,0.0,0.0,0.0
FRDC-D-C-4A,0005,0.0,0.0,0.0
FRDC-D-C-4A,0006,0.0,0.0,0.608194225906
FRDC-D-C-4A,0007,0.0,0.0,0.0
FRDC-D-C-4A,0008,0.0,0.0,0.0
FRDC-D-C-4A,0009,0.0,0.0,0.608194225906
FRDC-D-C-4A,0011,0.5276,0.4479,0.471136561724
FRDC-D-C-4A,0012,0.321,0.1043,0.471136561724
FRDC-D-C-4A,0013,0.9839,0.9724,0.841237966074
FRDC-D-C-4A,0014,0.0,0.0,0.0
FRDC-D-C-4A,0015,0.265,0.2432,0.841237966074
FRDC-D-C-4A,0016,0.0,0.0,0.0
FRDC-D-C-4A,0017,0.5335,0.4651,0.544634064376
FRDC-D-C-4A,0018,0.0,0.0,0.544634064376
FRDC-D-C-4A,0019,0.0,0.0,0.0
FRDC-D-C-4A,0020,0.0,0.0,0.0
FRDC-D-C-4A,0021,0.7492,0.3457,0.483738378752
FRDC-D-C-4A,0022,0.2641,0.2295,0.483738378752
FRDC-D-C-4A,0023,0.0,0.0,0.549563676134
FRDC-D-C-4A,0024,0.6419,0.268,0.549563676134
FRDC-D-C-4A,0025,0.0,0.0,0.0
FRDC-D-C-4A,0026,0.7427,0.5918,0.791297696202
FRDC-D-C-4A,0027,0.8986,0.9207,0.851576391821
FRDC-D-C-4A,0028,0.7442,0.4702,0.851576391821
FRDC-D-C-4A,0029,0.0,0.0,0.851576391821
FRDC-D-C-4A,0030,0.8965,0.6482,0.867189902739
FRDC-D-C-4A,0031,0.3135,0.1674,0.867189902739
FRDC-D-C-4A,0032,0.5285,0.3093,0.867189902739
FRDC-D-C-4A,0033,0,0,0.0
FRDC-D-C-4A,0034,0,0,0.867189902739
FRDC-D-C-4A,0035,0,0,0.445497401422
FRDC-D-C-4A,0036,0,0,0.445497401422
FRDC-D-C-4A,0037,0,0,0.445497401422
FRDC-D-C-4A,0038,0,0,0.445497401422
FRDC-D-C-4A,0039,0,0,0.445497401422
FRDC-D-C-4A,0040,0,0,0.445497401422
FRDC-D-C-4A,0041,0,0,0.613547129746
FRDC-D-C-4A,0042,0,0,0.613547129746
FRDC-D-C-4A,0043,0,0,0.613547129746
FRDC-D-C-4A,0044,0,0,0.447570829674
FRDC-D-C-4A,0045,0,0,0.447570829674
FRDC-D-C-4A,0046,0,0,0.447570829674
FRDC-D-C-4A,0047,0,0,0.453295565395
FRDC-D-C-4A,0048,0,0,0.453295565395
FRDC-D-C-4A,0049,0,0,0.556155606036
FRDC-D-C-4A,0050,0,0,0.556155606036
FRDC-D-C-5A,0001,0.48,0.309,0.329135173961
FRDC-D-C-5A,0002,0.7511,0.6804,0.645576849074
FRDC-D-C-5A,0003,0.0,0.0,0.0
FRDC-D-C-5A,0004,0.0,0.0,0.0
FRDC-D-C-5A,0005,0.0,0.0,0.0
FRDC-D-C-5A,0006,0.0,0.0,0.645576849074
FRDC-D-C-5A,0007,0.0,0.0,0.0
FRDC-D-C-5A,0008,0.0,0.0,0.0
FRDC-D-C-5A,0009,0.0,0.0,0.0
FRDC-D-C-5A,0011,0.5426,0.4627,0.437314996519
FRDC-D-C-5A,0012,0.321,0.1043,0.437314996519
FRDC-D-C-5A,0013,0.9507,0.9393,0.765070203192
FRDC-D-C-5A,0014,0.0,0.0,0.0
