runname,coarse-score,fine-score
FRDC-D-C-1A,0.461881120211,0.411789283476
FRDC-D-C-2A,0.389895623342,0.34018541926
FRDC-D-C-3A,0.444048922015,0.395048922015
FRDC-D-C-4A,0.374635316988,0.324027153722
FRDC-D-C-5A,0.384065180661,0.333759058212
THUSAM-D-C-1A,0.69647911041,0.61265666143
THUSAM-D-C-1B,0.694250188028,0.610621616599
THUSAM-D-C-2A,0.350162039583,0.262325304889
THUSAM-D-C-2B,0.369681471089,0.271132491497
TUTA1-D-C-1B,0.733364229706,0.653831576644
